Skoleår;Skole;Nivå;Utdanningsprogram;Ant. fraværsdager;Ant. fraværstimer;Totalfravær (%)
2017/18;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;4,3;17,7;4,1%
2018/19;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;3,6;12,3;3,2%
2019/20;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;3,9;19,2;4,0%
2020/21;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;4,7;25,2;5,1%
2021/22;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;1,8;28,8;3,9%
2022/23;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;9,1;29,0;7,8%
2023/24;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;3,0;8,5;2,5%
2017/18;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;11,4;14,4;7,6%
2018/19;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;5,0;8,0;3,5%
2019/20;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;3,0;13,5;3,0%
2020/21;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;1,7;10,8;2,0%
2021/22;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;1,4;21,9;3,0%
2022/23;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;4,1;41,6;6,4%
2023/24;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;4,8;15,0;4,1%
2017/18;Færder videregående skole;vg 1;Design og håndverk;15,9;16,8;10,3%
2018/19;Færder videregående skole;vg 1;Design og håndverk;7,8;28,1;7,0%
2019/20;Færder videregående skole;vg 1;Design og håndverk;11,3;24,1;8,5%
2017/18;Færder videregående skole;vg 2;Design og håndverk;12,6;30,7;9,9%
2019/20;Færder videregående skole;vg 2;Design og håndverk;6,3;50,3;8,5%
2020/21;Færder videregående skole;vg 2;Design og håndverk;17,9;68,5;16,6%
2017/18;Færder videregående skole;vg 3;Design og håndverk;28,8;32,0;18,6%
2018/19;Færder videregående skole;vg 3;Design og håndverk;8,5;8,5;5,4%
2017/18;Færder videregående skole;vg 1;Elektro og datateknologi;3,1;5,7;2,3%
2018/19;Færder videregående skole;vg 1;Elektro og datateknologi;2,5;8,7;2,2%
2019/20;Færder videregående skole;vg 1;Elektro og datateknologi;1,8;5,1;1,5%
2020/21;Færder videregående skole;vg 1;Elektro og datateknologi;0,5;11,7;1,5%
2021/22;Færder videregående skole;vg 1;Elektro og datateknologi;0,4;6,3;0,9%
2022/23;Færder videregående skole;vg 1;Elektro og datateknologi;5,0;11,6;3,8%
2023/24;Færder videregående skole;vg 1;Elektro og datateknologi;4,7;6,0;3,1%
2017/18;Færder videregående skole;vg 2;Elektro og datateknologi;2,1;7,1;1,9%
2018/19;Færder videregående skole;vg 2;Elektro og datateknologi;3,2;8,3;2,6%
2019/20;Færder videregående skole;vg 2;Elektro og datateknologi;2,0;2,5;1,3%
2020/21;Færder videregående skole;vg 2;Elektro og datateknologi;0,2;8,7;1,0%
2021/22;Færder videregående skole;vg 2;Elektro og datateknologi;0,1;6,8;0,8%
2022/23;Færder videregående skole;vg 2;Elektro og datateknologi;1,9;12,0;2,2%
2023/24;Færder videregående skole;vg 2;Elektro og datateknologi;2,2;5,6;1,8%
2017/18;Færder videregående skole;vg 3;Elektro og datateknologi;6,5;23,4;5,9%
2018/19;Færder videregående skole;vg 3;Elektro og datateknologi;3,6;10,1;2,9%
2019/20;Færder videregående skole;vg 3;Elektro og datateknologi;7,1;19,2;5,7%
2020/21;Færder videregående skole;vg 3;Elektro og datateknologi;3,5;24,7;4,4%
2021/22;Færder videregående skole;vg 3;Elektro og datateknologi;0,7;5,4;0,9%
2022/23;Færder videregående skole;vg 3;Elektro og datateknologi;1,5;2,7;1,1%
2023/24;Færder videregående skole;vg 3;Elektro og datateknologi;1,3;5,3;1,2%
2017/18;Færder videregående skole;vg 1;Kunst, design og arkitektur;5,8;9,7;4,1%
2018/19;Færder videregående skole;vg 1;Kunst, design og arkitektur;5,8;16,8;4,8%
2019/20;Færder videregående skole;vg 1;Kunst, design og arkitektur;4,9;12,0;3,8%
2020/21;Færder videregående skole;vg 1;Kunst, design og arkitektur;0,2;6,1;0,7%
2021/22;Færder videregående skole;vg 1;Kunst, design og arkitektur;0,0;0,7;0,1%
2022/23;Færder videregående skole;vg 1;Kunst, design og arkitektur;8,5;23,2;6,9%
2023/24;Færder videregående skole;vg 1;Kunst, design og arkitektur;2,9;7,6;2,3%
2017/18;Færder videregående skole;vg 2;Kunst, design og arkitektur;7,4;19,8;6,0%
2018/19;Færder videregående skole;vg 2;Kunst, design og arkitektur;5,6;7,4;3,8%
2019/20;Færder videregående skole;vg 2;Kunst, design og arkitektur;6,8;8,0;4,4%
2020/21;Færder videregående skole;vg 2;Kunst, design og arkitektur;1,3;7,6;1,4%
2021/22;Færder videregående skole;vg 2;Kunst, design og arkitektur;0,6;9,9;1,3%
2022/23;Færder videregående skole;vg 2;Kunst, design og arkitektur;10,2;20,5;7,5%
2023/24;Færder videregående skole;vg 2;Kunst, design og arkitektur;4,4;12,4;3,6%
2018/19;Færder videregående skole;vg 3;Kunst, design og arkitektur;5,2;19,8;4,8%
2019/20;Færder videregående skole;vg 3;Kunst, design og arkitektur;2,4;17,8;3,1%
2020/21;Færder videregående skole;vg 3;Kunst, design og arkitektur;0,9;2,1;0,7%
2021/22;Færder videregående skole;vg 3;Kunst, design og arkitektur;1,9;6,9;1,7%
2022/23;Færder videregående skole;vg 3;Kunst, design og arkitektur;18,4;32,6;13,2%
2023/24;Færder videregående skole;vg 3;Kunst, design og arkitektur;8,1;10,4;5,4%
2017/18;Færder videregående skole;vg 3;Påbygging;6,4;12,9;6,0%
2018/19;Færder videregående skole;vg 3;Påbygging;6,7;13,8;6,0%
2019/20;Færder videregående skole;vg 3;Påbygging;5,7;13,5;5,5%
2020/21;Færder videregående skole;vg 3;Påbygging;2,3;11,8;2,9%
2021/22;Færder videregående skole;vg 3;Påbygging;2,6;12,3;3,1%
2022/23;Færder videregående skole;vg 3;Påbygging;10,9;12,6;9,1%
2023/24;Færder videregående skole;vg 3;Påbygging;4,5;10,1;4,2%
2017/18;Færder videregående skole;vg 3;Studiespesialisering;4,8;22,0;5,2%
2017/18;Færder videregående skole;vg 1;Teknologi- og industrifag;3,7;8,0;2,8%
2018/19;Færder videregående skole;vg 1;Teknologi- og industrifag;3,7;8,3;2,8%
2019/20;Færder videregående skole;vg 1;Teknologi- og industrifag;2,3;8,5;2,1%
2020/21;Færder videregående skole;vg 1;Teknologi- og industrifag;3,5;15,6;3,5%
2021/22;Færder videregående skole;vg 1;Teknologi- og industrifag;2,0;18,9;3,0%
2022/23;Færder videregående skole;vg 1;Teknologi- og industrifag;7,5;32,0;7,3%
2023/24;Færder videregående skole;vg 1;Teknologi- og industrifag;3,2;6,5;2,4%
2017/18;Færder videregående skole;vg 2;Teknologi- og industrifag;3,6;12,3;3,2%
2018/19;Færder videregående skole;vg 2;Teknologi- og industrifag;3,2;12,6;3,0%
2019/20;Færder videregående skole;vg 2;Teknologi- og industrifag;3,9;11,7;3,3%
2020/21;Færder videregående skole;vg 2;Teknologi- og industrifag;1,9;10,1;2,0%
2021/22;Færder videregående skole;vg 2;Teknologi- og industrifag;2,4;11,9;2,5%
2022/23;Færder videregående skole;vg 2;Teknologi- og industrifag;5,3;19,7;4,8%
2023/24;Færder videregående skole;vg 2;Teknologi- og industrifag;4,7;5,4;3,1%
2020/21;Greveskogen videregående skole;vg 1;IT og medieproduksjon;0,2;5,1;0,6%
2021/22;Greveskogen videregående skole;vg 1;IT og medieproduksjon;0,4;12,2;1,5%
2022/23;Greveskogen videregående skole;vg 1;IT og medieproduksjon;2,7;32,3;4,7%
2023/24;Greveskogen videregående skole;vg 1;IT og medieproduksjon;3,2;7,3;2,5%
2021/22;Greveskogen videregående skole;vg 2;IT og medieproduksjon;0,1;3,6;0,4%
2022/23;Greveskogen videregående skole;vg 2;IT og medieproduksjon;6,4;20,3;5,5%
2023/24;Greveskogen videregående skole;vg 2;IT og medieproduksjon;3,0;21,6;3,8%
2017/18;Greveskogen videregående skole;vg 1;Musikk, dans og drama;5,2;25,7;5,4%
2018/19;Greveskogen videregående skole;vg 1;Musikk, dans og drama;3,8;22,5;4,3%
2019/20;Greveskogen videregående skole;vg 1;Musikk, dans og drama;3,2;10,4;2,8%
2020/21;Greveskogen videregående skole;vg 1;Musikk, dans og drama;0,4;7,4;1,0%
2021/22;Greveskogen videregående skole;vg 1;Musikk, dans og drama;0,3;11,3;1,3%
2022/23;Greveskogen videregående skole;vg 1;Musikk, dans og drama;6,6;43,1;7,9%
2023/24;Greveskogen videregående skole;vg 1;Musikk, dans og drama;3,2;12,9;3,0%
2017/18;Greveskogen videregående skole;vg 2;Musikk, dans og drama;9,4;47,3;9,8%
2018/19;Greveskogen videregående skole;vg 2;Musikk, dans og drama;9,0;27,7;7,7%
2019/20;Greveskogen videregående skole;vg 2;Musikk, dans og drama;3,2;23,1;4,1%
2020/21;Greveskogen videregående skole;vg 2;Musikk, dans og drama;4,6;20,2;4,5%
2021/22;Greveskogen videregående skole;vg 2;Musikk, dans og drama;0,3;11,2;1,3%
2022/23;Greveskogen videregående skole;vg 2;Musikk, dans og drama;5,6;27,3;5,8%
2023/24;Greveskogen videregående skole;vg 2;Musikk, dans og drama;6,6;25,3;6,1%
2017/18;Greveskogen videregående skole;vg 3;Musikk, dans og drama;5,5;23,7;5,4%
2018/19;Greveskogen videregående skole;vg 3;Musikk, dans og drama;9,5;55,7;10,7%
2019/20;Greveskogen videregående skole;vg 3;Musikk, dans og drama;5,5;19,7;5,0%
2020/21;Greveskogen videregående skole;vg 3;Musikk, dans og drama;3,7;20,0;4,0%
2021/22;Greveskogen videregående skole;vg 3;Musikk, dans og drama;0,1;14,1;1,5%
2022/23;Greveskogen videregående skole;vg 3;Musikk, dans og drama;7,8;36,7;7,9%
2023/24;Greveskogen videregående skole;vg 3;Musikk, dans og drama;4,4;35,0;5,9%
2017/18;Greveskogen videregående skole;vg 3;Påbygging;8,4;22,0;10,3%
2018/19;Greveskogen videregående skole;vg 3;Påbygging;1,7;8,6;2,7%
2019/20;Greveskogen videregående skole;vg 3;Påbygging;4,1;11,9;5,2%
2017/18;Greveskogen videregående skole;vg 1;Restaurant- og matfag;14,8;18,3;9,8%
2018/19;Greveskogen videregående skole;vg 1;Restaurant- og matfag;6,5;16,2;5,1%
2019/20;Greveskogen videregående skole;vg 1;Restaurant- og matfag;6,2;12,0;4,5%
2020/21;Greveskogen videregående skole;vg 1;Restaurant- og matfag;8,4;21,0;6,6%
2021/22;Greveskogen videregående skole;vg 1;Restaurant- og matfag;1,3;14,2;2,2%
2022/23;Greveskogen videregående skole;vg 1;Restaurant- og matfag;6,7;41,6;7,8%
2023/24;Greveskogen videregående skole;vg 1;Restaurant- og matfag;6,6;20,6;5,6%
2017/18;Greveskogen videregående skole;vg 2;Restaurant- og matfag;7,0;8,4;4,6%
2018/19;Greveskogen videregående skole;vg 2;Restaurant- og matfag;12,0;16,7;8,1%
2019/20;Greveskogen videregående skole;vg 2;Restaurant- og matfag;8,3;12,0;5,7%
2020/21;Greveskogen videregående skole;vg 2;Restaurant- og matfag;4,4;7,8;3,1%
2021/22;Greveskogen videregående skole;vg 2;Restaurant- og matfag;1,7;9,4;1,9%
2022/23;Greveskogen videregående skole;vg 2;Restaurant- og matfag;3,1;37,2;5,5%
2023/24;Greveskogen videregående skole;vg 2;Restaurant- og matfag;1,2;21,4;2,8%
2020/21;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;4,8;29,0;5,5%
2021/22;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;1,6;7,1;1,6%
2022/23;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;9,8;61,6;11,5%
2023/24;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;5,7;31,9;6,3%
2021/22;Greveskogen videregående skole;vg 2;Salg, service og reiseliv;0,5;75,8;8,0%
2022/23;Greveskogen videregående skole;vg 2;Salg, service og reiseliv;19,8;35,8;14,2%
2023/24;Greveskogen videregående skole;vg 2;Salg, service og reiseliv;4,6;26,0;5,1%
2017/18;Greveskogen videregående skole;vg 1;Service og samferdsel;13,2;35,2;10,7%
2018/19;Greveskogen videregående skole;vg 1;Service og samferdsel;13,3;31,3;10,3%
2019/20;Greveskogen videregående skole;vg 1;Service og samferdsel;12,2;46,6;11,3%
2017/18;Greveskogen videregående skole;vg 2;Service og samferdsel;8,5;26,7;7,3%
2018/19;Greveskogen videregående skole;vg 2;Service og samferdsel;11,6;56,4;12,0%
2019/20;Greveskogen videregående skole;vg 2;Service og samferdsel;6,9;62,8;10,1%
2020/21;Greveskogen videregående skole;vg 2;Service og samferdsel;7,7;50,9;9,3%
2017/18;Greveskogen videregående skole;vg 1;Studiespesialisering;6,3;18,0;5,5%
2018/19;Greveskogen videregående skole;vg 1;Studiespesialisering;4,8;19,5;4,9%
2019/20;Greveskogen videregående skole;vg 1;Studiespesialisering;2,4;9,4;2,4%
2020/21;Greveskogen videregående skole;vg 1;Studiespesialisering;0,5;9,2;1,3%
2021/22;Greveskogen videregående skole;vg 1;Studiespesialisering;0,2;13,0;1,6%
2022/23;Greveskogen videregående skole;vg 1;Studiespesialisering;8,5;26,2;7,7%
2023/24;Greveskogen videregående skole;vg 1;Studiespesialisering;2,8;8,7;2,5%
2017/18;Greveskogen videregående skole;vg 2;Studiespesialisering;5,0;32,7;6,6%
2018/19;Greveskogen videregående skole;vg 2;Studiespesialisering;7,1;27,9;7,1%
2019/20;Greveskogen videregående skole;vg 2;Studiespesialisering;5,9;23,6;6,0%
2020/21;Greveskogen videregående skole;vg 2;Studiespesialisering;1,2;15,7;2,5%
2021/22;Greveskogen videregående skole;vg 2;Studiespesialisering;0,2;13,0;1,6%
2022/23;Greveskogen videregående skole;vg 2;Studiespesialisering;7,6;29,8;7,6%
2023/24;Greveskogen videregående skole;vg 2;Studiespesialisering;4,6;16,3;4,4%
2017/18;Greveskogen videregående skole;vg 3;Studiespesialisering;8,6;27,3;7,8%
2018/19;Greveskogen videregående skole;vg 3;Studiespesialisering;5,7;28,7;6,5%
2019/20;Greveskogen videregående skole;vg 3;Studiespesialisering;6,0;24,2;6,1%
2020/21;Greveskogen videregående skole;vg 3;Studiespesialisering;5,6;28,5;6,4%
2021/22;Greveskogen videregående skole;vg 3;Studiespesialisering;0,5;13,6;1,9%
2022/23;Greveskogen videregående skole;vg 3;Studiespesialisering;9,9;29,0;8,7%
2023/24;Greveskogen videregående skole;vg 3;Studiespesialisering;5,1;15,6;4,6%
2017/18;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;5,8;18,9;5,1%
2018/19;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;13,0;38,9;10,9%
2019/20;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;5,0;19,8;4,7%
2020/21;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;4,7;24,0;4,9%
2021/22;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;0,8;4,2;0,9%
2022/23;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;11,2;35,6;9,6%
2023/24;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;9,5;17,3;6,9%
2017/18;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;19,2;15,8;11,9%
2018/19;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;12,4;14,1;8,1%
2019/20;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;8,0;19,1;6,2%
2020/21;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;10,8;16,8;7,5%
2021/22;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;0,3;51,6;5,4%
2022/23;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;26,8;54,6;19,9%
2023/24;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;6,7;22,4;5,9%
2017/18;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;4,8;20,8;4,7%
2018/19;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;13,6;7,1;8,0%
2019/20;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;6,4;11,6;4,6%
2017/18;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;14,4;27,2;10,5%
2018/19;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;9,8;39,2;9,2%
2019/20;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;4,1;8,3;3,1%
2020/21;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;0,5;16,3;1,9%
2018/19;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;14,4;33,0;11,1%
2019/20;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;0,0;5,0;0,5%
2020/21;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;0,1;12,1;1,3%
2021/22;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;3,3;28,8;4,7%
2017/18;Holmestrand videregående skole;vg 3;Påbygging;16,0;24,1;11,0%
2018/19;Holmestrand videregående skole;vg 3;Påbygging;19,6;46,0;15,1%
2019/20;Holmestrand videregående skole;vg 3;Påbygging;11,2;30,5;9,1%
2020/21;Holmestrand videregående skole;vg 3;Påbygging;8,8;60,6;10,9%
2021/22;Holmestrand videregående skole;vg 3;Påbygging;1,5;53,5;6,2%
2022/23;Holmestrand videregående skole;vg 3;Påbygging;35,7;46,7;23,8%
2023/24;Holmestrand videregående skole;vg 3;Påbygging;5,8;23,1;6,0%
2017/18;Holmestrand videregående skole;vg 1;Restaurant- og matfag;7,4;34,3;7,5%
2018/19;Holmestrand videregående skole;vg 1;Restaurant- og matfag;11,3;14,8;7,6%
2019/20;Holmestrand videregående skole;vg 1;Restaurant- og matfag;9,3;13,5;6,3%
2020/21;Holmestrand videregående skole;vg 1;Restaurant- og matfag;3,2;10,9;2,8%
2021/22;Holmestrand videregående skole;vg 1;Restaurant- og matfag;0,7;4,7;0,8%
2022/23;Holmestrand videregående skole;vg 1;Restaurant- og matfag;0,5;147,0;15,3%
2023/24;Holmestrand videregående skole;vg 1;Restaurant- og matfag;0,3;46,9;4,9%
2017/18;Holmestrand videregående skole;vg 2;Restaurant- og matfag;6,0;7,6;4,0%
2018/19;Holmestrand videregående skole;vg 2;Restaurant- og matfag;4,8;6,8;3,2%
2019/20;Holmestrand videregående skole;vg 2;Restaurant- og matfag;0,0;22,0;2,2%
2020/21;Holmestrand videregående skole;vg 2;Restaurant- og matfag;16,9;53,6;14,5%
2021/22;Holmestrand videregående skole;vg 2;Restaurant- og matfag;0,1;105,4;10,8%
2017/18;Holmestrand videregående skole;vg 1;Studiespesialisering;3,1;8,1;2,6%
2018/19;Holmestrand videregående skole;vg 1;Studiespesialisering;2,6;5,4;2,0%
2019/20;Holmestrand videregående skole;vg 1;Studiespesialisering;5,1;9,5;3,9%
2020/21;Holmestrand videregående skole;vg 1;Studiespesialisering;1,0;8,0;1,5%
2021/22;Holmestrand videregående skole;vg 1;Studiespesialisering;1,6;21,9;3,4%
2022/23;Holmestrand videregående skole;vg 1;Studiespesialisering;4,3;25,8;5,4%
2023/24;Holmestrand videregående skole;vg 1;Studiespesialisering;3,9;15,5;3,9%
2017/18;Holmestrand videregående skole;vg 2;Studiespesialisering;9,2;21,1;7,4%
2018/19;Holmestrand videregående skole;vg 2;Studiespesialisering;3,2;13,4;3,3%
2019/20;Holmestrand videregående skole;vg 2;Studiespesialisering;2,6;6,1;2,1%
2020/21;Holmestrand videregående skole;vg 2;Studiespesialisering;0,4;11,2;1,6%
2021/22;Holmestrand videregående skole;vg 2;Studiespesialisering;2,1;10,5;2,4%
2022/23;Holmestrand videregående skole;vg 2;Studiespesialisering;12,4;30,6;10,2%
2023/24;Holmestrand videregående skole;vg 2;Studiespesialisering;5,1;13,2;4,3%
2017/18;Holmestrand videregående skole;vg 3;Studiespesialisering;6,9;12,5;5,2%
2018/19;Holmestrand videregående skole;vg 3;Studiespesialisering;13,1;25,6;10,0%
2019/20;Holmestrand videregående skole;vg 3;Studiespesialisering;2,6;5,7;2,1%
2020/21;Holmestrand videregående skole;vg 3;Studiespesialisering;2,8;8,3;2,5%
2021/22;Holmestrand videregående skole;vg 3;Studiespesialisering;2,3;14,6;3,0%
2022/23;Holmestrand videregående skole;vg 3;Studiespesialisering;11,3;35,2;10,2%
2023/24;Holmestrand videregående skole;vg 3;Studiespesialisering;5,5;14,1;4,6%
2017/18;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;13,4;23,9;9,6%
2018/19;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;16,7;56,8;14,7%
2019/20;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;4,4;18,5;4,2%
2020/21;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;3,2;25,3;4,3%
2021/22;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;2,8;31,0;4,7%
2022/23;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;9,8;15,3;6,8%
2023/24;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;6,5;34,3;7,0%
2017/18;Horten videregående skole;vg 1;Design og håndverk;8,5;13,9;5,9%
2018/19;Horten videregående skole;vg 1;Design og håndverk;8,5;27,6;7,4%
2019/20;Horten videregående skole;vg 1;Design og håndverk;6,1;15,3;4,8%
2017/18;Horten videregående skole;vg 2;Design og håndverk;13,6;14,8;8,8%
2018/19;Horten videregående skole;vg 2;Design og håndverk;12,7;11,9;8,0%
2019/20;Horten videregående skole;vg 2;Design og håndverk;7,1;29,0;6,7%
2020/21;Horten videregående skole;vg 2;Design og håndverk;5,0;9,0;3,6%
2017/18;Horten videregående skole;vg 1;Elektro og datateknologi;3,6;11,9;3,1%
2018/19;Horten videregående skole;vg 1;Elektro og datateknologi;7,2;12,8;5,2%
2019/20;Horten videregående skole;vg 1;Elektro og datateknologi;3,4;2,6;2,1%
2020/21;Horten videregående skole;vg 1;Elektro og datateknologi;0,5;4,2;0,7%
2021/22;Horten videregående skole;vg 1;Elektro og datateknologi;0,6;8,0;1,1%
2022/23;Horten videregående skole;vg 1;Elektro og datateknologi;4,7;13,9;3,9%
2023/24;Horten videregående skole;vg 1;Elektro og datateknologi;3,0;4,3;2,0%
2017/18;Horten videregående skole;vg 2;Elektro og datateknologi;4,5;5,9;3,0%
2018/19;Horten videregående skole;vg 2;Elektro og datateknologi;3,7;7,6;2,8%
2019/20;Horten videregående skole;vg 2;Elektro og datateknologi;3,6;4,9;2,4%
2020/21;Horten videregående skole;vg 2;Elektro og datateknologi;1,4;7,6;1,5%
2021/22;Horten videregående skole;vg 2;Elektro og datateknologi;0,7;1,4;0,5%
2022/23;Horten videregående skole;vg 2;Elektro og datateknologi;3,2;16,3;3,4%
2023/24;Horten videregående skole;vg 2;Elektro og datateknologi;2,0;9,3;2,0%
