Skoleår;Skole;Nivå;Utdanningsprogram;Ant. fraværsdager;Ant. fraværstimer;Totalfravær (%)
2017/18;Horten videregående skole;vg 3;Elektro og datateknologi;5,6;15,5;4,5%
2018/19;Horten videregående skole;vg 3;Elektro og datateknologi;8,9;6,1;5,4%
2019/20;Horten videregående skole;vg 3;Elektro og datateknologi;2,3;5,9;1,8%
2020/21;Horten videregående skole;vg 3;Elektro og datateknologi;0,8;6,6;1,1%
2021/22;Horten videregående skole;vg 3;Elektro og datateknologi;0,4;7,1;0,9%
2022/23;Horten videregående skole;vg 3;Elektro og datateknologi;0,1;44,3;4,6%
2023/24;Horten videregående skole;vg 3;Elektro og datateknologi;0,0;15,6;1,6%
2020/21;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;2,1;15,5;2,7%
2021/22;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;0,3;11,0;1,3%
2022/23;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;9,1;53,8;10,3%
2023/24;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;6,1;33,2;6,6%
2021/22;Horten videregående skole;vg 2;Frisør,blomst,int,eksp.design;2,9;21,5;3,7%
2022/23;Horten videregående skole;vg 2;Frisør,blomst,int,eksp.design;12,6;7,4;7,5%
2023/24;Horten videregående skole;vg 2;Frisør,blomst,int,eksp.design;14,4;9,3;8,6%
2017/18;Horten videregående skole;vg 1;Helse- og oppvekstfag;10,7;21,9;8,0%
2018/19;Horten videregående skole;vg 1;Helse- og oppvekstfag;11,3;17,1;7,8%
2019/20;Horten videregående skole;vg 1;Helse- og oppvekstfag;4,3;13,3;3,6%
2020/21;Horten videregående skole;vg 1;Helse- og oppvekstfag;1,2;12,7;2,0%
2021/22;Horten videregående skole;vg 1;Helse- og oppvekstfag;1,4;13,4;2,1%
2022/23;Horten videregående skole;vg 1;Helse- og oppvekstfag;15,6;31,6;11,6%
2023/24;Horten videregående skole;vg 1;Helse- og oppvekstfag;5,6;12,5;4,3%
2017/18;Horten videregående skole;vg 2;Helse- og oppvekstfag;7,8;12,1;5,4%
2018/19;Horten videregående skole;vg 2;Helse- og oppvekstfag;12,5;26,4;9,4%
2019/20;Horten videregående skole;vg 2;Helse- og oppvekstfag;7,6;13,2;5,4%
2020/21;Horten videregående skole;vg 2;Helse- og oppvekstfag;1,2;13,7;2,0%
2021/22;Horten videregående skole;vg 2;Helse- og oppvekstfag;1,8;8,3;1,8%
2022/23;Horten videregående skole;vg 2;Helse- og oppvekstfag;11,4;33,8;9,6%
2023/24;Horten videregående skole;vg 2;Helse- og oppvekstfag;7,2;18,5;5,7%
2017/18;Horten videregående skole;vg 1;Idrettsfag;3,4;28,7;4,8%
2018/19;Horten videregående skole;vg 1;Idrettsfag;2,1;13,0;2,4%
2019/20;Horten videregående skole;vg 1;Idrettsfag;3,3;6,3;2,4%
2020/21;Horten videregående skole;vg 1;Idrettsfag;0,7;12,0;1,6%
2021/22;Horten videregående skole;vg 1;Idrettsfag;1,0;7,1;1,3%
2022/23;Horten videregående skole;vg 1;Idrettsfag;6,1;17,8;5,1%
2023/24;Horten videregående skole;vg 1;Idrettsfag;2,3;13,0;2,6%
2017/18;Horten videregående skole;vg 2;Idrettsfag;15,0;25,6;10,6%
2018/19;Horten videregående skole;vg 2;Idrettsfag;3,9;26,0;4,7%
2019/20;Horten videregående skole;vg 2;Idrettsfag;2,6;18,7;3,3%
2020/21;Horten videregående skole;vg 2;Idrettsfag;2,0;17,3;2,9%
2021/22;Horten videregående skole;vg 2;Idrettsfag;0,6;16,5;2,0%
2022/23;Horten videregående skole;vg 2;Idrettsfag;6,9;22,6;6,0%
2023/24;Horten videregående skole;vg 2;Idrettsfag;4,1;14,5;3,7%
2017/18;Horten videregående skole;vg 3;Idrettsfag;4,6;15,4;4,0%
2018/19;Horten videregående skole;vg 3;Idrettsfag;9,2;30,4;8,0%
2019/20;Horten videregående skole;vg 3;Idrettsfag;4,0;24,1;4,6%
2020/21;Horten videregående skole;vg 3;Idrettsfag;1,4;17,8;2,6%
2021/22;Horten videregående skole;vg 3;Idrettsfag;1,4;18,4;2,6%
2022/23;Horten videregående skole;vg 3;Idrettsfag;5,7;30,7;6,2%
2023/24;Horten videregående skole;vg 3;Idrettsfag;3,0;9,7;2,6%
2020/21;Horten videregående skole;vg 1;IT og medieproduksjon;0,2;6,0;0,7%
2021/22;Horten videregående skole;vg 1;IT og medieproduksjon;1,9;19,1;3,0%
2022/23;Horten videregående skole;vg 1;IT og medieproduksjon;11,5;21,1;8,3%
2023/24;Horten videregående skole;vg 1;IT og medieproduksjon;3,2;8,2;2,5%
2021/22;Horten videregående skole;vg 2;IT og medieproduksjon;0,8;15,6;2,0%
2022/23;Horten videregående skole;vg 2;IT og medieproduksjon;10,8;28,1;8,7%
2023/24;Horten videregående skole;vg 2;IT og medieproduksjon;7,3;13,1;5,2%
2017/18;Horten videregående skole;vg 1;Medier og kommunikasjon;7,7;17,5;5,9%
2018/19;Horten videregående skole;vg 1;Medier og kommunikasjon;5,4;10,3;4,0%
2019/20;Horten videregående skole;vg 1;Medier og kommunikasjon;4,6;9,1;3,4%
2020/21;Horten videregående skole;vg 1;Medier og kommunikasjon;2,6;19,1;3,4%
2021/22;Horten videregående skole;vg 1;Medier og kommunikasjon;0,4;16,0;1,8%
2022/23;Horten videregående skole;vg 1;Medier og kommunikasjon;11,3;33,3;9,5%
2023/24;Horten videregående skole;vg 1;Medier og kommunikasjon;3,1;12,2;2,9%
2017/18;Horten videregående skole;vg 2;Medier og kommunikasjon;8,3;19,9;6,5%
2018/19;Horten videregående skole;vg 2;Medier og kommunikasjon;6,8;26,8;6,4%
2019/20;Horten videregående skole;vg 2;Medier og kommunikasjon;4,3;11,6;3,5%
2020/21;Horten videregående skole;vg 2;Medier og kommunikasjon;0,4;12,1;1,4%
2021/22;Horten videregående skole;vg 2;Medier og kommunikasjon;2,2;17,0;2,9%
2022/23;Horten videregående skole;vg 2;Medier og kommunikasjon;13,7;47,1;12,2%
2023/24;Horten videregående skole;vg 2;Medier og kommunikasjon;5,7;15,2;4,6%
2017/18;Horten videregående skole;vg 3;Medier og kommunikasjon;9,4;19,8;7,0%
2018/19;Horten videregående skole;vg 3;Medier og kommunikasjon;5,5;24,1;5,4%
2019/20;Horten videregående skole;vg 3;Medier og kommunikasjon;5,2;19,6;4,8%
2020/21;Horten videregående skole;vg 3;Medier og kommunikasjon;0,8;11,3;1,6%
2021/22;Horten videregående skole;vg 3;Medier og kommunikasjon;0,8;24,1;2,9%
2022/23;Horten videregående skole;vg 3;Medier og kommunikasjon;13,2;47,3;11,9%
2023/24;Horten videregående skole;vg 3;Medier og kommunikasjon;9,4;17,9;6,8%
2017/18;Horten videregående skole;vg 3;Påbygging;9,7;15,0;6,7%
2018/19;Horten videregående skole;vg 3;Påbygging;9,6;22,8;7,5%
2019/20;Horten videregående skole;vg 3;Påbygging;12,4;19,1;8,6%
2020/21;Horten videregående skole;vg 3;Påbygging;0,8;17,2;2,2%
2021/22;Horten videregående skole;vg 3;Påbygging;0,8;18,3;2,3%
2022/23;Horten videregående skole;vg 3;Påbygging;10,8;26,2;8,5%
2023/24;Horten videregående skole;vg 3;Påbygging;4,8;14,1;4,0%
2020/21;Horten videregående skole;vg 1;Salg, service og reiseliv;2,1;38,2;5,0%
2021/22;Horten videregående skole;vg 1;Salg, service og reiseliv;1,1;27,9;3,5%
2022/23;Horten videregående skole;vg 1;Salg, service og reiseliv;13,8;67,7;14,3%
2023/24;Horten videregående skole;vg 1;Salg, service og reiseliv;0,4;60,7;6,4%
2021/22;Horten videregående skole;vg 2;Salg, service og reiseliv;7,3;24,2;6,4%
2022/23;Horten videregående skole;vg 2;Salg, service og reiseliv;16,6;25,1;11,4%
2023/24;Horten videregående skole;vg 2;Salg, service og reiseliv;0,7;84,3;9,0%
2017/18;Horten videregående skole;vg 1;Service og samferdsel;8,0;31,2;7,5%
2018/19;Horten videregående skole;vg 1;Service og samferdsel;16,3;44,2;13,2%
2019/20;Horten videregående skole;vg 1;Service og samferdsel;6,6;25,4;6,1%
2017/18;Horten videregående skole;vg 2;Service og samferdsel;16,0;25,7;11,2%
2018/19;Horten videregående skole;vg 2;Service og samferdsel;5,6;21,0;5,1%
2019/20;Horten videregående skole;vg 2;Service og samferdsel;5,0;12,7;4,0%
2020/21;Horten videregående skole;vg 2;Service og samferdsel;10,8;42,4;10,1%
2017/18;Horten videregående skole;vg 1;Studiespesialisering;2,3;5,8;1,9%
2018/19;Horten videregående skole;vg 1;Studiespesialisering;4,5;9,6;3,5%
2019/20;Horten videregående skole;vg 1;Studiespesialisering;3,2;3,3;2,1%
2020/21;Horten videregående skole;vg 1;Studiespesialisering;0,4;5,9;0,9%
2021/22;Horten videregående skole;vg 1;Studiespesialisering;1,1;5,9;1,3%
2022/23;Horten videregående skole;vg 1;Studiespesialisering;6,1;9,7;4,4%
2023/24;Horten videregående skole;vg 1;Studiespesialisering;2,8;4,1;2,0%
2017/18;Horten videregående skole;vg 2;Studiespesialisering;6,8;17,3;5,7%
2018/19;Horten videregående skole;vg 2;Studiespesialisering;4,0;13,4;3,7%
2019/20;Horten videregående skole;vg 2;Studiespesialisering;5,0;10,1;3,9%
2020/21;Horten videregående skole;vg 2;Studiespesialisering;0,6;12,7;1,8%
2021/22;Horten videregående skole;vg 2;Studiespesialisering;2,8;16,7;3,5%
2022/23;Horten videregående skole;vg 2;Studiespesialisering;7,5;18,8;6,2%
2023/24;Horten videregående skole;vg 2;Studiespesialisering;4,7;15,4;4,3%
2017/18;Horten videregående skole;vg 3;Studiespesialisering;4,8;16,7;4,6%
2018/19;Horten videregående skole;vg 3;Studiespesialisering;7,1;21,5;6,3%
2019/20;Horten videregående skole;vg 3;Studiespesialisering;3,5;14,3;3,6%
2020/21;Horten videregående skole;vg 3;Studiespesialisering;2,6;16,8;3,4%
2021/22;Horten videregående skole;vg 3;Studiespesialisering;1,1;16,8;2,6%
2022/23;Horten videregående skole;vg 3;Studiespesialisering;7,0;20,0;6,1%
2023/24;Horten videregående skole;vg 3;Studiespesialisering;4,4;12,0;3,8%
2017/18;Horten videregående skole;vg 1;Teknologi- og industrifag;8,9;17,7;6,6%
2018/19;Horten videregående skole;vg 1;Teknologi- og industrifag;19,7;30,1;13,6%
2019/20;Horten videregående skole;vg 1;Teknologi- og industrifag;4,6;6,6;3,1%
2020/21;Horten videregående skole;vg 1;Teknologi- og industrifag;8,4;41,2;8,7%
2021/22;Horten videregående skole;vg 1;Teknologi- og industrifag;5,5;21,8;5,1%
2022/23;Horten videregående skole;vg 1;Teknologi- og industrifag;3,5;26,3;4,5%
2023/24;Horten videregående skole;vg 1;Teknologi- og industrifag;3,1;26,8;4,4%
2017/18;Horten videregående skole;vg 2;Teknologi- og industrifag;1,7;13,0;2,2%
2018/19;Horten videregående skole;vg 2;Teknologi- og industrifag;4,9;15,5;4,2%
2020/21;Horten videregående skole;vg 2;Teknologi- og industrifag;0,3;22,8;2,5%
2021/22;Horten videregående skole;vg 2;Teknologi- og industrifag;0,4;13,9;1,6%
2022/23;Horten videregående skole;vg 2;Teknologi- og industrifag;1,5;30,3;3,9%
2023/24;Horten videregående skole;vg 2;Teknologi- og industrifag;0,4;57,7;6,1%
2017/18;Melsom videregående skole;vg 1;Medier og kommunikasjon;7,3;23,5;6,3%
2018/19;Melsom videregående skole;vg 1;Medier og kommunikasjon;7,0;18,1;5,6%
2019/20;Melsom videregående skole;vg 1;Medier og kommunikasjon;14,5;22,2;10,0%
2020/21;Melsom videregående skole;vg 1;Medier og kommunikasjon;0,8;12,0;1,6%
2021/22;Melsom videregående skole;vg 1;Medier og kommunikasjon;0,6;25,6;2,9%
2022/23;Melsom videregående skole;vg 1;Medier og kommunikasjon;17,2;15,6;10,8%
2023/24;Melsom videregående skole;vg 1;Medier og kommunikasjon;6,6;7,8;4,3%
2017/18;Melsom videregående skole;vg 2;Medier og kommunikasjon;11,2;35,8;9,7%
2018/19;Melsom videregående skole;vg 2;Medier og kommunikasjon;13,5;37,8;11,1%
2019/20;Melsom videregående skole;vg 2;Medier og kommunikasjon;7,8;16,1;5,8%
2020/21;Melsom videregående skole;vg 2;Medier og kommunikasjon;2,1;44,0;5,6%
2021/22;Melsom videregående skole;vg 2;Medier og kommunikasjon;2,3;12,6;2,5%
2022/23;Melsom videregående skole;vg 2;Medier og kommunikasjon;16,6;23,1;11,3%
2023/24;Melsom videregående skole;vg 2;Medier og kommunikasjon;3,3;7,8;2,5%
2017/18;Melsom videregående skole;vg 3;Medier og kommunikasjon;8,5;21,2;6,7%
2018/19;Melsom videregående skole;vg 3;Medier og kommunikasjon;14,9;37,2;11,8%
2019/20;Melsom videregående skole;vg 3;Medier og kommunikasjon;12,8;23,2;9,2%
2020/21;Melsom videregående skole;vg 3;Medier og kommunikasjon;2,6;25,4;4,0%
2021/22;Melsom videregående skole;vg 3;Medier og kommunikasjon;8,3;36,0;8,1%
2022/23;Melsom videregående skole;vg 3;Medier og kommunikasjon;13,1;25,9;9,7%
2023/24;Melsom videregående skole;vg 3;Medier og kommunikasjon;8,3;21,9;6,6%
2017/18;Melsom videregående skole;vg 1;Naturbruk;5,9;26,1;5,8%
2018/19;Melsom videregående skole;vg 1;Naturbruk;11,6;46,6;11,0%
2019/20;Melsom videregående skole;vg 1;Naturbruk;8,7;24,0;7,1%
2020/21;Melsom videregående skole;vg 1;Naturbruk;1,5;20,2;2,9%
2021/22;Melsom videregående skole;vg 1;Naturbruk;5,6;35,0;6,6%
2022/23;Melsom videregående skole;vg 1;Naturbruk;8,1;31,1;7,5%
2023/24;Melsom videregående skole;vg 1;Naturbruk;3,7;15,1;3,5%
2017/18;Melsom videregående skole;vg 2;Naturbruk;6,0;26,6;5,9%
2018/19;Melsom videregående skole;vg 2;Naturbruk;6,3;15,8;5,0%
2019/20;Melsom videregående skole;vg 2;Naturbruk;6,5;21,2;5,6%
2020/21;Melsom videregående skole;vg 2;Naturbruk;5,4;26,1;5,5%
2021/22;Melsom videregående skole;vg 2;Naturbruk;0,9;29,7;3,5%
2022/23;Melsom videregående skole;vg 2;Naturbruk;6,6;32,7;6,9%
2023/24;Melsom videregående skole;vg 2;Naturbruk;2,1;26,7;3,9%
2017/18;Melsom videregående skole;vg 3;Naturbruk;6,7;34,0;7,1%
2018/19;Melsom videregående skole;vg 3;Naturbruk;5,5;13,4;4,3%
2019/20;Melsom videregående skole;vg 3;Naturbruk;4,2;14,5;3,7%
2020/21;Melsom videregående skole;vg 3;Naturbruk;1,7;28,5;3,8%
2021/22;Melsom videregående skole;vg 3;Naturbruk;0,2;4,8;0,6%
2022/23;Melsom videregående skole;vg 3;Naturbruk;10,5;18,1;7,5%
2023/24;Melsom videregående skole;vg 3;Naturbruk;3,0;5,0;2,1%
2017/18;Melsom videregående skole;vg 3;Påbygging;9,0;42,0;9,1%
2020/21;Melsom videregående skole;vg 3;Påbygging;8,0;34,2;8,9%
2021/22;Melsom videregående skole;vg 3;Påbygging;0,4;15,7;2,0%
2022/23;Melsom videregående skole;vg 3;Påbygging;13,0;50,1;12,2%
2023/24;Melsom videregående skole;vg 3;Påbygging;3,5;12,0;3,5%
2017/18;Melsom videregående skole;vg 1;Studiespesialisering;4,5;46,9;8,0%
2018/19;Melsom videregående skole;vg 1;Studiespesialisering;5,6;20,6;5,4%
2019/20;Melsom videregående skole;vg 1;Studiespesialisering;3,4;7,2;2,7%
2020/21;Melsom videregående skole;vg 1;Studiespesialisering;0,8;23,6;3,3%
2021/22;Melsom videregående skole;vg 1;Studiespesialisering;0,9;6,7;1,3%
2022/23;Melsom videregående skole;vg 1;Studiespesialisering;8,4;23,2;7,2%
2023/24;Melsom videregående skole;vg 1;Studiespesialisering;6,4;12,6;4,9%
2017/18;Melsom videregående skole;vg 2;Studiespesialisering;8,1;27,9;7,6%
2018/19;Melsom videregående skole;vg 2;Studiespesialisering;8,6;65,3;12,4%
2019/20;Melsom videregående skole;vg 2;Studiespesialisering;3,4;22,4;4,4%
2020/21;Melsom videregående skole;vg 2;Studiespesialisering;2,8;13,2;3,1%
2021/22;Melsom videregående skole;vg 2;Studiespesialisering;0,9;38,5;5,1%
2022/23;Melsom videregående skole;vg 2;Studiespesialisering;5,6;19,3;5,3%
2023/24;Melsom videregående skole;vg 2;Studiespesialisering;7,5;22,5;6,7%
2017/18;Melsom videregående skole;vg 3;Studiespesialisering;10,1;21,5;8,0%
2018/19;Melsom videregående skole;vg 3;Studiespesialisering;8,4;47,9;10,2%
2019/20;Melsom videregående skole;vg 3;Studiespesialisering;9,1;36,7;9,2%
2020/21;Melsom videregående skole;vg 3;Studiespesialisering;2,6;25,5;4,4%
2021/22;Melsom videregående skole;vg 3;Studiespesialisering;2,8;15,3;3,3%
2022/23;Melsom videregående skole;vg 3;Studiespesialisering;7,0;34,6;7,8%
2023/24;Melsom videregående skole;vg 3;Studiespesialisering;5,4;16,4;4,8%
2017/18;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;9,3;16,4;6,7%
2018/19;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;9,7;15,7;6,8%
2019/20;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;8,4;16,2;6,1%
2020/21;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;1,9;12,5;2,3%
2021/22;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;3,1;16,8;3,4%
2022/23;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;14,8;38,8;11,9%
2023/24;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;7,5;14,5;5,5%
2017/18;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;7,5;18,8;5,9%
2018/19;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;7,1;22,3;6,1%
2019/20;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;10,5;14,8;7,1%
2020/21;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;1,0;11,2;1,7%
2021/22;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;1,8;18,6;2,9%
2022/23;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;7,8;27,7;7,0%
2023/24;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;5,0;17,5;4,4%
2017/18;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;4,9;10,3;3,6%
2018/19;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;19,7;18,3;12,4%
2019/20;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;14,8;18,0;9,8%
2020/21;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;3,1;7,3;2,4%
2021/22;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;3,1;7,5;2,4%
2022/23;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;17,8;19,8;11,6%
2023/24;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;5,9;8,3;4,0%
2017/18;Nøtterøy videregående skole;vg 3;Påbygging;5,5;10,2;4,0%
2018/19;Nøtterøy videregående skole;vg 3;Påbygging;5,5;14,0;4,4%
2019/20;Nøtterøy videregående skole;vg 3;Påbygging;3,9;16,6;3,8%
2020/21;Nøtterøy videregående skole;vg 3;Påbygging;2,0;9,1;2,0%
2021/22;Nøtterøy videregående skole;vg 3;Påbygging;1,2;18,7;2,6%
2022/23;Nøtterøy videregående skole;vg 3;Påbygging;9,1;27,7;7,7%
2023/24;Nøtterøy videregående skole;vg 3;Påbygging;7,0;12,3;5,0%
2017/18;Nøtterøy videregående skole;vg 1;Studiespesialisering;6,9;17,9;5,8%
2018/19;Nøtterøy videregående skole;vg 1;Studiespesialisering;2,4;8,7;2,3%
2019/20;Nøtterøy videregående skole;vg 1;Studiespesialisering;3,9;10,3;3,3%
2020/21;Nøtterøy videregående skole;vg 1;Studiespesialisering;0,3;6,8;1,0%
2021/22;Nøtterøy videregående skole;vg 1;Studiespesialisering;0,6;8,4;1,3%
2022/23;Nøtterøy videregående skole;vg 1;Studiespesialisering;9,5;24,3;7,9%
2023/24;Nøtterøy videregående skole;vg 1;Studiespesialisering;3,7;9,7;3,1%
2017/18;Nøtterøy videregående skole;vg 2;Studiespesialisering;4,3;27,9;5,6%
2018/19;Nøtterøy videregående skole;vg 2;Studiespesialisering;5,2;26,6;5,9%
2019/20;Nøtterøy videregående skole;vg 2;Studiespesialisering;3,8;12,7;3,5%
2020/21;Nøtterøy videregående skole;vg 2;Studiespesialisering;0,8;11,9;1,8%
2021/22;Nøtterøy videregående skole;vg 2;Studiespesialisering;0,8;16,3;2,4%
2022/23;Nøtterøy videregående skole;vg 2;Studiespesialisering;8,7;29,2;8,1%
2023/24;Nøtterøy videregående skole;vg 2;Studiespesialisering;4,3;15,0;4,1%
2017/18;Nøtterøy videregående skole;vg 3;Studiespesialisering;4,9;30,5;6,3%
2018/19;Nøtterøy videregående skole;vg 3;Studiespesialisering;6,7;28,9;7,0%
2019/20;Nøtterøy videregående skole;vg 3;Studiespesialisering;4,7;23,2;5,2%
2020/21;Nøtterøy videregående skole;vg 3;Studiespesialisering;0,8;14,6;2,2%
2021/22;Nøtterøy videregående skole;vg 3;Studiespesialisering;1,4;18,5;2,9%
2022/23;Nøtterøy videregående skole;vg 3;Studiespesialisering;8,1;25,1;7,3%
2023/24;Nøtterøy videregående skole;vg 3;Studiespesialisering;4,9;16,5;4,6%
2017/18;Re videregående skole;vg 1;Bygg- og anleggsteknikk;4,2;7,2;3,0%
2018/19;Re videregående skole;vg 1;Bygg- og anleggsteknikk;4,9;7,7;3,4%
2019/20;Re videregående skole;vg 1;Bygg- og anleggsteknikk;2,8;7,1;2,2%
2020/21;Re videregående skole;vg 1;Bygg- og anleggsteknikk;1,7;8,1;1,7%
2021/22;Re videregående skole;vg 1;Bygg- og anleggsteknikk;1,1;11,4;1,8%
2022/23;Re videregående skole;vg 1;Bygg- og anleggsteknikk;6,8;20,4;5,7%
2023/24;Re videregående skole;vg 1;Bygg- og anleggsteknikk;2,7;8,3;2,3%
2017/18;Re videregående skole;vg 2;Bygg- og anleggsteknikk;2,7;12,1;2,7%
2018/19;Re videregående skole;vg 2;Bygg- og anleggsteknikk;2,9;21,6;3,7%
2019/20;Re videregående skole;vg 2;Bygg- og anleggsteknikk;0,7;10,6;1,5%
2020/21;Re videregående skole;vg 2;Bygg- og anleggsteknikk;1,2;9,1;1,6%
2021/22;Re videregående skole;vg 2;Bygg- og anleggsteknikk;0,4;15,3;1,8%
2022/23;Re videregående skole;vg 2;Bygg- og anleggsteknikk;0,1;33,9;3,5%
2023/24;Re videregående skole;vg 2;Bygg- og anleggsteknikk;1,2;16,8;2,4%
2017/18;Re videregående skole;vg 1;Helse- og oppvekstfag;8,9;10,4;5,8%
2018/19;Re videregående skole;vg 1;Helse- og oppvekstfag;7,0;16,7;5,4%
2019/20;Re videregående skole;vg 1;Helse- og oppvekstfag;3,6;7,0;2,6%
2020/21;Re videregående skole;vg 1;Helse- og oppvekstfag;2,2;5,5;1,7%
2021/22;Re videregående skole;vg 1;Helse- og oppvekstfag;1,4;11,5;1,9%
2022/23;Re videregående skole;vg 1;Helse- og oppvekstfag;6,2;21,4;5,5%
2023/24;Re videregående skole;vg 1;Helse- og oppvekstfag;4,4;10,3;3,4%
2017/18;Re videregående skole;vg 2;Helse- og oppvekstfag;8,3;10,8;5,6%
2018/19;Re videregående skole;vg 2;Helse- og oppvekstfag;5,6;15,0;4,5%
2019/20;Re videregående skole;vg 2;Helse- og oppvekstfag;3,8;9,7;3,0%
2020/21;Re videregående skole;vg 2;Helse- og oppvekstfag;1,8;9,6;1,9%
2021/22;Re videregående skole;vg 2;Helse- og oppvekstfag;1,4;14,9;2,2%
2022/23;Re videregående skole;vg 2;Helse- og oppvekstfag;12,0;16,4;8,1%
2023/24;Re videregående skole;vg 2;Helse- og oppvekstfag;5,4;9,3;3,8%
2017/18;Re videregående skole;vg 1;Idrettsfag;5,5;16,0;4,6%
