Skoleår;Skole;Nivå;Utdanningsprogram;B;H;I;M;S
2017/18;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;78,7%;0,0%;8,2%;4,9%;8,2%
2018/19;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;76,9%;0,0%;15,4%;6,2%;1,5%
2021/22;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;76,2%;1,6%;9,5%;9,5%;3,2%
2020/21;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;70,2%;0,0%;6,0%;13,1%;10,7%
2022/23;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;69,7%;2,6%;6,6%;15,8%;5,3%
2019/20;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;64,5%;0,0%;13,2%;15,8%;6,6%
2018/19;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;93,6%;2,1%;2,1%;0,0%;2,1%
2019/20;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;87,0%;0,0%;0,0%;11,1%;1,9%
2020/21;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;86,4%;0,0%;1,7%;10,2%;1,7%
2022/23;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;77,8%;1,9%;7,4%;3,7%;9,3%
2021/22;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;75,8%;6,1%;3,0%;3,0%;12,1%
2017/18;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;75,0%;0,0%;6,3%;12,5%;6,3%
2018/19;Færder videregående skole;vg 1;Design og håndverk;70,8%;0,0%;0,0%;20,8%;8,3%
2017/18;Færder videregående skole;vg 1;Design og håndverk;65,2%;0,0%;4,3%;13,0%;17,4%
2019/20;Færder videregående skole;vg 1;Design og håndverk;47,1%;0,0%;11,8%;29,4%;11,8%
2019/20;Færder videregående skole;vg 2;Design og håndverk;75,0%;12,5%;0,0%;12,5%;0,0%
2017/18;Færder videregående skole;vg 2;Design og håndverk;72,7%;0,0%;9,1%;13,6%;4,5%
2020/21;Færder videregående skole;vg 2;Design og håndverk;66,7%;0,0%;0,0%;25,0%;8,3%
2018/19;Færder videregående skole;vg 3;Design og håndverk;90,9%;0,0%;0,0%;0,0%;9,1%
2017/18;Færder videregående skole;vg 3;Design og håndverk;50,0%;0,0%;0,0%;33,3%;16,7%
2021/22;Færder videregående skole;vg 1;Elektro og datateknologi;95,6%;0,0%;0,0%;0,0%;4,4%
2022/23;Færder videregående skole;vg 1;Elektro og datateknologi;92,2%;3,1%;0,0%;1,6%;3,1%
2020/21;Færder videregående skole;vg 1;Elektro og datateknologi;92,2%;0,0%;1,6%;3,1%;3,1%
2017/18;Færder videregående skole;vg 1;Elektro og datateknologi;91,8%;0,0%;6,1%;2,0%;0,0%
2019/20;Færder videregående skole;vg 1;Elektro og datateknologi;89,4%;0,0%;0,0%;4,3%;6,4%
2018/19;Færder videregående skole;vg 1;Elektro og datateknologi;80,9%;0,0%;10,6%;4,3%;4,3%
2019/20;Færder videregående skole;vg 2;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Færder videregående skole;vg 2;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Færder videregående skole;vg 2;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Færder videregående skole;vg 2;Elektro og datateknologi;95,6%;4,4%;0,0%;0,0%;0,0%
2017/18;Færder videregående skole;vg 2;Elektro og datateknologi;92,0%;0,0%;4,0%;0,0%;4,0%
2018/19;Færder videregående skole;vg 2;Elektro og datateknologi;91,7%;0,0%;6,3%;2,1%;0,0%
2021/22;Færder videregående skole;vg 3;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Færder videregående skole;vg 3;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2018/19;Færder videregående skole;vg 3;Elektro og datateknologi;94,1%;0,0%;0,0%;0,0%;5,9%
2019/20;Færder videregående skole;vg 3;Elektro og datateknologi;93,3%;0,0%;0,0%;0,0%;6,7%
2020/21;Færder videregående skole;vg 3;Elektro og datateknologi;81,3%;0,0%;12,5%;0,0%;6,3%
2017/18;Færder videregående skole;vg 3;Elektro og datateknologi;75,0%;0,0%;6,3%;12,5%;6,3%
2020/21;Færder videregående skole;vg 1;Kunst, design og arkitektur;100,0%;0,0%;0,0%;0,0%;0,0%
2018/19;Færder videregående skole;vg 1;Kunst, design og arkitektur;90,0%;0,0%;0,0%;6,7%;3,3%
2022/23;Færder videregående skole;vg 1;Kunst, design og arkitektur;78,8%;7,7%;7,7%;5,8%;0,0%
2019/20;Færder videregående skole;vg 1;Kunst, design og arkitektur;77,4%;0,0%;3,2%;16,1%;3,2%
2017/18;Færder videregående skole;vg 1;Kunst, design og arkitektur;71,9%;0,0%;6,3%;6,3%;15,6%
2021/22;Færder videregående skole;vg 1;Kunst, design og arkitektur;62,5%;34,4%;0,0%;0,0%;3,1%
2017/18;Færder videregående skole;vg 2;Kunst, design og arkitektur;84,6%;0,0%;7,7%;7,7%;0,0%
2019/20;Færder videregående skole;vg 2;Kunst, design og arkitektur;73,1%;0,0%;0,0%;23,1%;3,8%
2021/22;Færder videregående skole;vg 2;Kunst, design og arkitektur;72,4%;0,0%;17,2%;10,3%;0,0%
2018/19;Færder videregående skole;vg 2;Kunst, design og arkitektur;71,4%;0,0%;4,8%;23,8%;0,0%
2022/23;Færder videregående skole;vg 2;Kunst, design og arkitektur;64,5%;25,8%;3,2%;6,5%;0,0%
2020/21;Færder videregående skole;vg 2;Kunst, design og arkitektur;62,5%;0,0%;0,0%;37,5%;0,0%
2020/21;Færder videregående skole;vg 3;Kunst, design og arkitektur;83,3%;0,0%;0,0%;16,7%;0,0%
2021/22;Færder videregående skole;vg 3;Kunst, design og arkitektur;82,1%;0,0%;3,6%;14,3%;0,0%
2022/23;Færder videregående skole;vg 3;Kunst, design og arkitektur;77,8%;3,7%;14,8%;0,0%;3,7%
2019/20;Færder videregående skole;vg 3;Kunst, design og arkitektur;75,0%;0,0%;0,0%;25,0%;0,0%
2018/19;Færder videregående skole;vg 3;Kunst, design og arkitektur;72,7%;0,0%;22,7%;4,5%;0,0%
2019/20;Færder videregående skole;vg 3;Påbygging;90,0%;0,6%;3,1%;3,1%;3,1%
2021/22;Færder videregående skole;vg 3;Påbygging;86,0%;1,1%;3,9%;4,5%;4,5%
2020/21;Færder videregående skole;vg 3;Påbygging;86,0%;0,0%;1,7%;8,4%;3,9%
2018/19;Færder videregående skole;vg 3;Påbygging;81,7%;0,0%;11,0%;4,9%;2,4%
2017/18;Færder videregående skole;vg 3;Påbygging;77,5%;0,0%;10,1%;7,9%;4,5%
2022/23;Færder videregående skole;vg 3;Påbygging;76,1%;4,9%;9,9%;4,9%;4,2%
2017/18;Færder videregående skole;vg 3;Studiespesialisering;87,5%;0,0%;0,0%;12,5%;0,0%
2018/19;Færder videregående skole;vg 1;Teknologi- og industrifag;86,3%;0,0%;2,0%;7,8%;3,9%
2017/18;Færder videregående skole;vg 1;Teknologi- og industrifag;84,1%;0,0%;1,4%;10,1%;4,3%
2019/20;Færder videregående skole;vg 1;Teknologi- og industrifag;83,6%;0,0%;7,5%;4,5%;4,5%
2022/23;Færder videregående skole;vg 1;Teknologi- og industrifag;82,9%;3,9%;1,3%;6,6%;5,3%
2021/22;Færder videregående skole;vg 1;Teknologi- og industrifag;77,0%;4,9%;6,6%;3,3%;8,2%
2020/21;Færder videregående skole;vg 1;Teknologi- og industrifag;71,4%;0,0%;4,8%;14,3%;9,5%
2021/22;Færder videregående skole;vg 2;Teknologi- og industrifag;88,5%;2,3%;1,1%;2,3%;5,7%
2020/21;Færder videregående skole;vg 2;Teknologi- og industrifag;86,2%;0,0%;3,2%;3,2%;7,4%
2022/23;Færder videregående skole;vg 2;Teknologi- og industrifag;84,4%;3,3%;1,1%;3,3%;7,8%
2019/20;Færder videregående skole;vg 2;Teknologi- og industrifag;83,9%;1,1%;3,4%;6,9%;4,6%
2017/18;Færder videregående skole;vg 2;Teknologi- og industrifag;74,2%;0,0%;10,1%;12,4%;3,4%
2018/19;Færder videregående skole;vg 2;Teknologi- og industrifag;68,8%;0,0%;10,8%;8,6%;11,8%
2020/21;Greveskogen videregående skole;vg 1;IT og medieproduksjon;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Greveskogen videregående skole;vg 1;IT og medieproduksjon;96,7%;0,0%;0,0%;0,0%;3,3%
2021/22;Greveskogen videregående skole;vg 1;IT og medieproduksjon;87,5%;0,0%;0,0%;12,5%;0,0%
2021/22;Greveskogen videregående skole;vg 2;IT og medieproduksjon;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Greveskogen videregående skole;vg 2;IT og medieproduksjon;94,1%;0,0%;0,0%;0,0%;5,9%
2019/20;Greveskogen videregående skole;vg 1;Musikk, dans og drama;100,0%;0,0%;0,0%;0,0%;0,0%
2018/19;Greveskogen videregående skole;vg 1;Musikk, dans og drama;96,7%;0,0%;0,0%;3,3%;0,0%
2022/23;Greveskogen videregående skole;vg 1;Musikk, dans og drama;95,2%;0,0%;4,8%;0,0%;0,0%
2020/21;Greveskogen videregående skole;vg 1;Musikk, dans og drama;92,6%;0,0%;3,7%;3,7%;0,0%
2021/22;Greveskogen videregående skole;vg 1;Musikk, dans og drama;80,0%;0,0%;6,7%;0,0%;13,3%
2017/18;Greveskogen videregående skole;vg 1;Musikk, dans og drama;80,0%;0,0%;3,3%;13,3%;3,3%
2020/21;Greveskogen videregående skole;vg 2;Musikk, dans og drama;96,7%;0,0%;0,0%;3,3%;0,0%
2021/22;Greveskogen videregående skole;vg 2;Musikk, dans og drama;96,4%;0,0%;3,6%;0,0%;0,0%
2019/20;Greveskogen videregående skole;vg 2;Musikk, dans og drama;89,3%;0,0%;3,6%;7,1%;0,0%
2018/19;Greveskogen videregående skole;vg 2;Musikk, dans og drama;88,9%;0,0%;3,7%;7,4%;0,0%
2017/18;Greveskogen videregående skole;vg 2;Musikk, dans og drama;87,9%;0,0%;0,0%;12,1%;0,0%
2022/23;Greveskogen videregående skole;vg 2;Musikk, dans og drama;87,5%;4,2%;4,2%;4,2%;0,0%
2020/21;Greveskogen videregående skole;vg 3;Musikk, dans og drama;93,1%;3,4%;0,0%;3,4%;0,0%
2021/22;Greveskogen videregående skole;vg 3;Musikk, dans og drama;89,7%;3,4%;0,0%;6,9%;0,0%
2022/23;Greveskogen videregående skole;vg 3;Musikk, dans og drama;89,7%;0,0%;3,4%;6,9%;0,0%
2019/20;Greveskogen videregående skole;vg 3;Musikk, dans og drama;88,5%;0,0%;3,8%;3,8%;3,8%
2018/19;Greveskogen videregående skole;vg 3;Musikk, dans og drama;84,8%;0,0%;6,1%;9,1%;0,0%
2017/18;Greveskogen videregående skole;vg 3;Musikk, dans og drama;80,0%;0,0%;10,0%;6,7%;3,3%
2018/19;Greveskogen videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Greveskogen videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2017/18;Greveskogen videregående skole;vg 3;Påbygging;14,3%;85,7%;0,0%;0,0%;0,0%
2019/20;Greveskogen videregående skole;vg 1;Restaurant- og matfag;84,0%;0,0%;0,0%;8,0%;8,0%
2021/22;Greveskogen videregående skole;vg 1;Restaurant- og matfag;77,5%;2,5%;7,5%;10,0%;2,5%
2020/21;Greveskogen videregående skole;vg 1;Restaurant- og matfag;74,4%;0,0%;5,1%;15,4%;5,1%
2017/18;Greveskogen videregående skole;vg 1;Restaurant- og matfag;70,0%;0,0%;0,0%;20,0%;10,0%
2018/19;Greveskogen videregående skole;vg 1;Restaurant- og matfag;69,6%;0,0%;0,0%;21,7%;8,7%
2022/23;Greveskogen videregående skole;vg 1;Restaurant- og matfag;67,9%;10,7%;10,7%;7,1%;3,6%
2021/22;Greveskogen videregående skole;vg 2;Restaurant- og matfag;97,1%;0,0%;0,0%;2,9%;0,0%
2020/21;Greveskogen videregående skole;vg 2;Restaurant- og matfag;92,0%;0,0%;4,0%;4,0%;0,0%
2019/20;Greveskogen videregående skole;vg 2;Restaurant- og matfag;91,3%;0,0%;0,0%;4,3%;4,3%
2018/19;Greveskogen videregående skole;vg 2;Restaurant- og matfag;88,9%;0,0%;0,0%;3,7%;7,4%
2022/23;Greveskogen videregående skole;vg 2;Restaurant- og matfag;76,0%;0,0%;0,0%;16,0%;8,0%
2017/18;Greveskogen videregående skole;vg 2;Restaurant- og matfag;68,2%;4,5%;13,6%;4,5%;9,1%
2021/22;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;92,9%;0,0%;0,0%;7,1%;0,0%
2020/21;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;70,6%;0,0%;5,9%;17,6%;5,9%
2022/23;Greveskogen videregående skole;vg 1;Salg, service og reiseliv;70,0%;5,0%;7,5%;12,5%;5,0%
2022/23;Greveskogen videregående skole;vg 2;Salg, service og reiseliv;84,6%;0,0%;0,0%;15,4%;0,0%
2021/22;Greveskogen videregående skole;vg 2;Salg, service og reiseliv;70,6%;5,9%;5,9%;14,7%;2,9%
2018/19;Greveskogen videregående skole;vg 1;Service og samferdsel;59,1%;0,0%;18,2%;11,4%;11,4%
2019/20;Greveskogen videregående skole;vg 1;Service og samferdsel;56,9%;0,0%;8,3%;31,9%;2,8%
2017/18;Greveskogen videregående skole;vg 1;Service og samferdsel;48,7%;0,0%;5,1%;28,2%;17,9%
2019/20;Greveskogen videregående skole;vg 2;Service og samferdsel;77,0%;0,0%;0,0%;14,8%;8,2%
2018/19;Greveskogen videregående skole;vg 2;Service og samferdsel;75,9%;0,0%;3,4%;20,7%;0,0%
2017/18;Greveskogen videregående skole;vg 2;Service og samferdsel;75,6%;12,2%;0,0%;12,2%;0,0%
2020/21;Greveskogen videregående skole;vg 2;Service og samferdsel;69,6%;0,0%;0,0%;29,0%;1,4%
2020/21;Greveskogen videregående skole;vg 1;Studiespesialisering;96,0%;0,0%;2,3%;1,7%;0,0%
2019/20;Greveskogen videregående skole;vg 1;Studiespesialisering;91,8%;0,7%;2,7%;4,8%;0,0%
2018/19;Greveskogen videregående skole;vg 1;Studiespesialisering;91,0%;0,0%;3,4%;5,1%;0,6%
2021/22;Greveskogen videregående skole;vg 1;Studiespesialisering;89,8%;1,1%;4,0%;3,4%;1,7%
2017/18;Greveskogen videregående skole;vg 1;Studiespesialisering;84,8%;0,0%;3,7%;10,1%;1,4%
2022/23;Greveskogen videregående skole;vg 1;Studiespesialisering;83,2%;2,4%;1,9%;10,1%;2,4%
2021/22;Greveskogen videregående skole;vg 2;Studiespesialisering;92,6%;0,6%;2,3%;3,4%;1,1%
2020/21;Greveskogen videregående skole;vg 2;Studiespesialisering;91,2%;0,0%;2,7%;5,4%;0,7%
2018/19;Greveskogen videregående skole;vg 2;Studiespesialisering;86,8%;0,0%;7,1%;5,6%;0,5%
2022/23;Greveskogen videregående skole;vg 2;Studiespesialisering;84,9%;2,3%;6,4%;5,2%;1,2%
2017/18;Greveskogen videregående skole;vg 2;Studiespesialisering;81,0%;0,4%;5,4%;11,2%;2,1%
2019/20;Greveskogen videregående skole;vg 2;Studiespesialisering;79,3%;0,6%;1,7%;12,8%;5,6%
2020/21;Greveskogen videregående skole;vg 3;Studiespesialisering;92,0%;0,0%;1,6%;4,8%;1,6%
2022/23;Greveskogen videregående skole;vg 3;Studiespesialisering;91,5%;0,6%;3,4%;4,5%;0,0%
2019/20;Greveskogen videregående skole;vg 3;Studiespesialisering;90,2%;0,0%;0,0%;9,4%;0,4%
2021/22;Greveskogen videregående skole;vg 3;Studiespesialisering;89,3%;4,1%;3,0%;1,8%;1,8%
2017/18;Greveskogen videregående skole;vg 3;Studiespesialisering;84,0%;0,0%;4,2%;9,9%;1,9%
2018/19;Greveskogen videregående skole;vg 3;Studiespesialisering;83,9%;0,0%;5,6%;8,4%;2,0%
2022/23;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;90,9%;0,0%;4,5%;0,0%;4,5%
2018/19;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;88,9%;0,0%;0,0%;11,1%;0,0%
2020/21;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;87,5%;0,0%;0,0%;6,3%;6,3%
2017/18;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;84,6%;0,0%;0,0%;7,7%;7,7%
2019/20;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;83,3%;0,0%;0,0%;11,1%;5,6%
2021/22;Holmestrand videregående skole;vg 1;Helse- og oppvekstfag;77,8%;11,1%;0,0%;5,6%;5,6%
2020/21;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;92,3%;0,0%;0,0%;0,0%;7,7%
2021/22;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;91,7%;0,0%;0,0%;8,3%;0,0%
2017/18;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;90,9%;0,0%;0,0%;0,0%;9,1%
2018/19;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;80,0%;0,0%;10,0%;10,0%;0,0%
2019/20;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;76,9%;0,0%;0,0%;15,4%;7,7%
2022/23;Holmestrand videregående skole;vg 2;Helse- og oppvekstfag;71,4%;0,0%;0,0%;14,3%;14,3%
2017/18;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;92,9%;0,0%;0,0%;7,1%;0,0%
2018/19;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;90,0%;0,0%;0,0%;10,0%;0,0%
2019/20;Holmestrand videregående skole;vg 1;Medier og kommunikasjon;88,9%;0,0%;0,0%;11,1%;0,0%
2019/20;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2017/18;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;90,9%;0,0%;0,0%;0,0%;9,1%
2020/21;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;87,5%;0,0%;0,0%;12,5%;0,0%
2018/19;Holmestrand videregående skole;vg 2;Medier og kommunikasjon;50,0%;0,0%;33,3%;16,7%;0,0%
2020/21;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;87,5%;0,0%;0,0%;12,5%;0,0%
2019/20;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;76,9%;0,0%;0,0%;7,7%;15,4%
2018/19;Holmestrand videregående skole;vg 3;Medier og kommunikasjon;72,7%;0,0%;9,1%;18,2%;0,0%
2020/21;Holmestrand videregående skole;vg 3;Påbygging;64,3%;10,7%;3,6%;17,9%;3,6%
2017/18;Holmestrand videregående skole;vg 3;Påbygging;57,1%;0,0%;17,9%;21,4%;3,6%
2021/22;Holmestrand videregående skole;vg 3;Påbygging;56,5%;4,3%;4,3%;30,4%;4,3%
2018/19;Holmestrand videregående skole;vg 3;Påbygging;50,0%;0,0%;16,7%;16,7%;16,7%
2019/20;Holmestrand videregående skole;vg 3;Påbygging;45,0%;0,0%;20,0%;30,0%;5,0%
2022/23;Holmestrand videregående skole;vg 3;Påbygging;42,3%;3,8%;11,5%;19,2%;23,1%
2020/21;Holmestrand videregående skole;vg 1;Restaurant- og matfag;90,9%;0,0%;0,0%;9,1%;0,0%
2018/19;Holmestrand videregående skole;vg 1;Restaurant- og matfag;77,8%;0,0%;0,0%;22,2%;0,0%
2019/20;Holmestrand videregående skole;vg 1;Restaurant- og matfag;60,0%;0,0%;10,0%;20,0%;10,0%
2017/18;Holmestrand videregående skole;vg 1;Restaurant- og matfag;50,0%;0,0%;0,0%;37,5%;12,5%
2021/22;Holmestrand videregående skole;vg 1;Restaurant- og matfag;40,0%;0,0%;0,0%;20,0%;40,0%
2022/23;Holmestrand videregående skole;vg 1;Restaurant- og matfag;38,5%;38,5%;0,0%;15,4%;7,7%
2019/20;Holmestrand videregående skole;vg 2;Restaurant- og matfag;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Holmestrand videregående skole;vg 2;Restaurant- og matfag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 2;Restaurant- og matfag;85,7%;0,0%;0,0%;14,3%;0,0%
2018/19;Holmestrand videregående skole;vg 2;Restaurant- og matfag;80,0%;0,0%;0,0%;0,0%;20,0%
2017/18;Holmestrand videregående skole;vg 2;Restaurant- og matfag;66,7%;0,0%;16,7%;0,0%;16,7%
2018/19;Holmestrand videregående skole;vg 1;Studiespesialisering;97,6%;0,0%;0,0%;0,0%;2,4%
2020/21;Holmestrand videregående skole;vg 1;Studiespesialisering;96,0%;0,0%;0,0%;4,0%;0,0%
2019/20;Holmestrand videregående skole;vg 1;Studiespesialisering;95,6%;0,0%;2,2%;2,2%;0,0%
2017/18;Holmestrand videregående skole;vg 1;Studiespesialisering;87,5%;0,0%;0,0%;9,4%;3,1%
2022/23;Holmestrand videregående skole;vg 1;Studiespesialisering;83,9%;16,1%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 1;Studiespesialisering;81,1%;9,4%;0,0%;9,4%;0,0%
2019/20;Holmestrand videregående skole;vg 2;Studiespesialisering;97,6%;0,0%;0,0%;2,4%;0,0%
2020/21;Holmestrand videregående skole;vg 2;Studiespesialisering;93,0%;0,0%;0,0%;2,3%;4,7%
2022/23;Holmestrand videregående skole;vg 2;Studiespesialisering;83,0%;2,1%;10,6%;4,3%;0,0%
2017/18;Holmestrand videregående skole;vg 2;Studiespesialisering;81,3%;0,0%;9,4%;6,3%;3,1%
2021/22;Holmestrand videregående skole;vg 2;Studiespesialisering;79,2%;0,0%;8,3%;8,3%;4,2%
2018/19;Holmestrand videregående skole;vg 2;Studiespesialisering;74,2%;0,0%;25,8%;0,0%;0,0%
2019/20;Holmestrand videregående skole;vg 3;Studiespesialisering;96,3%;0,0%;0,0%;0,0%;3,7%
2020/21;Holmestrand videregående skole;vg 3;Studiespesialisering;93,0%;0,0%;2,3%;4,7%;0,0%
2021/22;Holmestrand videregående skole;vg 3;Studiespesialisering;92,1%;0,0%;0,0%;5,3%;2,6%
2018/19;Holmestrand videregående skole;vg 3;Studiespesialisering;86,8%;0,0%;2,6%;7,9%;2,6%
2017/18;Holmestrand videregående skole;vg 3;Studiespesialisering;82,4%;0,0%;13,7%;2,0%;2,0%
2022/23;Holmestrand videregående skole;vg 3;Studiespesialisering;69,6%;8,7%;13,0%;8,7%;0,0%
2020/21;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;81,3%;0,0%;0,0%;12,5%;6,3%
2019/20;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;80,0%;0,0%;13,3%;6,7%;0,0%
2022/23;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;62,5%;12,5%;0,0%;0,0%;25,0%
2017/18;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;46,2%;0,0%;15,4%;30,8%;7,7%
2018/19;Holmestrand videregående skole;vg 1;Teknologi- og industrifag;38,5%;0,0%;0,0%;53,8%;7,7%
2017/18;Horten videregående skole;vg 1;Design og håndverk;84,6%;0,0%;3,8%;3,8%;7,7%
2019/20;Horten videregående skole;vg 1;Design og håndverk;75,0%;0,0%;7,1%;3,6%;14,3%
2018/19;Horten videregående skole;vg 1;Design og håndverk;61,5%;0,0%;3,8%;15,4%;19,2%
2020/21;Horten videregående skole;vg 2;Design og håndverk;87,0%;0,0%;0,0%;8,7%;4,3%
2019/20;Horten videregående skole;vg 2;Design og håndverk;84,2%;0,0%;0,0%;15,8%;0,0%
2018/19;Horten videregående skole;vg 2;Design og håndverk;82,8%;0,0%;0,0%;10,3%;6,9%
2017/18;Horten videregående skole;vg 2;Design og håndverk;81,8%;0,0%;9,1%;4,5%;4,5%
2019/20;Horten videregående skole;vg 1;Elektro og datateknologi;96,9%;0,0%;0,0%;3,1%;0,0%
2017/18;Horten videregående skole;vg 1;Elektro og datateknologi;95,7%;0,0%;0,0%;2,2%;2,2%
2020/21;Horten videregående skole;vg 1;Elektro og datateknologi;93,5%;0,0%;6,5%;0,0%;0,0%
2022/23;Horten videregående skole;vg 1;Elektro og datateknologi;87,9%;3,0%;3,0%;3,0%;3,0%
2021/22;Horten videregående skole;vg 1;Elektro og datateknologi;86,7%;6,7%;0,0%;0,0%;6,7%
2018/19;Horten videregående skole;vg 1;Elektro og datateknologi;64,5%;0,0%;9,7%;19,4%;6,5%
2020/21;Horten videregående skole;vg 2;Elektro og datateknologi;96,8%;3,2%;0,0%;0,0%;0,0%
2018/19;Horten videregående skole;vg 2;Elektro og datateknologi;87,5%;0,0%;7,5%;2,5%;2,5%
2019/20;Horten videregående skole;vg 2;Elektro og datateknologi;87,5%;0,0%;5,0%;5,0%;2,5%
2021/22;Horten videregående skole;vg 2;Elektro og datateknologi;84,8%;3,0%;0,0%;3,0%;9,1%
