Skoleår;Skole;Nivå;Utdanningsprogram;B;H;I;M;S
2022/23;Horten videregående skole;vg 2;Elektro og datateknologi;83,9%;6,5%;0,0%;0,0%;9,7%
2017/18;Horten videregående skole;vg 2;Elektro og datateknologi;81,8%;0,0%;11,4%;6,8%;0,0%
2022/23;Horten videregående skole;vg 3;Elektro og datateknologi;88,9%;0,0%;11,1%;0,0%;0,0%
2020/21;Horten videregående skole;vg 3;Elektro og datateknologi;88,9%;0,0%;0,0%;0,0%;11,1%
2017/18;Horten videregående skole;vg 3;Elektro og datateknologi;81,0%;0,0%;14,3%;0,0%;4,8%
2019/20;Horten videregående skole;vg 3;Elektro og datateknologi;80,0%;0,0%;10,0%;0,0%;10,0%
2021/22;Horten videregående skole;vg 3;Elektro og datateknologi;77,8%;0,0%;11,1%;0,0%;11,1%
2018/19;Horten videregående skole;vg 3;Elektro og datateknologi;68,4%;0,0%;10,5%;5,3%;15,8%
2021/22;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;75,9%;0,0%;6,9%;10,3%;6,9%
2022/23;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;56,0%;8,0%;4,0%;12,0%;20,0%
2020/21;Horten videregående skole;vg 1;Frisør,blomst,int,eksp.design;50,0%;0,0%;3,3%;30,0%;16,7%
2022/23;Horten videregående skole;vg 2;Frisør,blomst,int,eksp.design;83,3%;8,3%;0,0%;8,3%;0,0%
2021/22;Horten videregående skole;vg 2;Frisør,blomst,int,eksp.design;42,9%;7,1%;7,1%;21,4%;21,4%
2021/22;Horten videregående skole;vg 1;Helse- og oppvekstfag;85,9%;5,1%;0,0%;6,4%;2,6%
2019/20;Horten videregående skole;vg 1;Helse- og oppvekstfag;85,5%;1,3%;5,3%;6,6%;1,3%
2020/21;Horten videregående skole;vg 1;Helse- og oppvekstfag;84,8%;3,8%;1,3%;8,9%;1,3%
2022/23;Horten videregående skole;vg 1;Helse- og oppvekstfag;76,4%;11,1%;4,2%;5,6%;2,8%
2018/19;Horten videregående skole;vg 1;Helse- og oppvekstfag;72,5%;0,0%;8,8%;8,8%;10,0%
2017/18;Horten videregående skole;vg 1;Helse- og oppvekstfag;70,0%;0,0%;6,7%;10,0%;13,3%
2021/22;Horten videregående skole;vg 2;Helse- og oppvekstfag;90,0%;3,3%;1,7%;3,3%;1,7%
2022/23;Horten videregående skole;vg 2;Helse- og oppvekstfag;88,9%;4,8%;1,6%;1,6%;3,2%
2020/21;Horten videregående skole;vg 2;Helse- og oppvekstfag;82,3%;1,6%;4,8%;8,1%;3,2%
2018/19;Horten videregående skole;vg 2;Helse- og oppvekstfag;74,0%;0,0%;10,0%;12,0%;4,0%
2017/18;Horten videregående skole;vg 2;Helse- og oppvekstfag;72,2%;0,0%;2,8%;13,9%;11,1%
2019/20;Horten videregående skole;vg 2;Helse- og oppvekstfag;65,1%;1,6%;19,0%;6,3%;7,9%
2022/23;Horten videregående skole;vg 1;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Horten videregående skole;vg 1;Idrettsfag;96,8%;0,0%;3,2%;0,0%;0,0%
2018/19;Horten videregående skole;vg 1;Idrettsfag;96,4%;0,0%;0,0%;3,6%;0,0%
2019/20;Horten videregående skole;vg 1;Idrettsfag;93,3%;0,0%;0,0%;6,7%;0,0%
2020/21;Horten videregående skole;vg 1;Idrettsfag;90,3%;0,0%;3,2%;6,5%;0,0%
2017/18;Horten videregående skole;vg 1;Idrettsfag;84,4%;0,0%;0,0%;6,3%;9,4%
2019/20;Horten videregående skole;vg 2;Idrettsfag;93,1%;0,0%;3,4%;3,4%;0,0%
2022/23;Horten videregående skole;vg 2;Idrettsfag;87,1%;3,2%;0,0%;9,7%;0,0%
2017/18;Horten videregående skole;vg 2;Idrettsfag;78,9%;0,0%;5,3%;15,8%;0,0%
2020/21;Horten videregående skole;vg 2;Idrettsfag;72,4%;0,0%;20,7%;6,9%;0,0%
2021/22;Horten videregående skole;vg 2;Idrettsfag;67,7%;6,5%;19,4%;3,2%;3,2%
2018/19;Horten videregående skole;vg 2;Idrettsfag;61,5%;0,0%;26,9%;3,8%;7,7%
2020/21;Horten videregående skole;vg 3;Idrettsfag;92,9%;0,0%;0,0%;7,1%;0,0%
2017/18;Horten videregående skole;vg 3;Idrettsfag;92,3%;0,0%;3,8%;3,8%;0,0%
2021/22;Horten videregående skole;vg 3;Idrettsfag;89,7%;0,0%;3,4%;6,9%;0,0%
2019/20;Horten videregående skole;vg 3;Idrettsfag;84,0%;0,0%;0,0%;16,0%;0,0%
2022/23;Horten videregående skole;vg 3;Idrettsfag;82,8%;3,4%;3,4%;10,3%;0,0%
2018/19;Horten videregående skole;vg 3;Idrettsfag;57,9%;0,0%;31,6%;10,5%;0,0%
2021/22;Horten videregående skole;vg 1;IT og medieproduksjon;93,8%;6,3%;0,0%;0,0%;0,0%
2020/21;Horten videregående skole;vg 1;IT og medieproduksjon;80,0%;6,7%;0,0%;6,7%;6,7%
2022/23;Horten videregående skole;vg 1;IT og medieproduksjon;70,6%;11,8%;0,0%;17,6%;0,0%
2022/23;Horten videregående skole;vg 2;IT og medieproduksjon;87,5%;0,0%;0,0%;12,5%;0,0%
2021/22;Horten videregående skole;vg 2;IT og medieproduksjon;86,7%;0,0%;0,0%;6,7%;6,7%
2018/19;Horten videregående skole;vg 1;Medier og kommunikasjon;93,3%;0,0%;3,3%;3,3%;0,0%
2019/20;Horten videregående skole;vg 1;Medier og kommunikasjon;89,3%;0,0%;3,6%;3,6%;3,6%
2017/18;Horten videregående skole;vg 1;Medier og kommunikasjon;86,2%;0,0%;0,0%;10,3%;3,4%
2020/21;Horten videregående skole;vg 1;Medier og kommunikasjon;76,7%;0,0%;0,0%;23,3%;0,0%
2021/22;Horten videregående skole;vg 1;Medier og kommunikasjon;76,7%;0,0%;0,0%;16,7%;6,7%
2022/23;Horten videregående skole;vg 1;Medier og kommunikasjon;48,4%;0,0%;16,1%;22,6%;12,9%
2019/20;Horten videregående skole;vg 2;Medier og kommunikasjon;93,3%;0,0%;3,3%;0,0%;3,3%
2017/18;Horten videregående skole;vg 2;Medier og kommunikasjon;90,9%;0,0%;9,1%;0,0%;0,0%
2020/21;Horten videregående skole;vg 2;Medier og kommunikasjon;90,0%;0,0%;3,3%;6,7%;0,0%
2022/23;Horten videregående skole;vg 2;Medier og kommunikasjon;87,0%;4,3%;8,7%;0,0%;0,0%
2018/19;Horten videregående skole;vg 2;Medier og kommunikasjon;84,0%;0,0%;8,0%;8,0%;0,0%
2021/22;Horten videregående skole;vg 2;Medier og kommunikasjon;73,1%;0,0%;3,8%;15,4%;7,7%
2020/21;Horten videregående skole;vg 3;Medier og kommunikasjon;96,2%;0,0%;0,0%;3,8%;0,0%
2021/22;Horten videregående skole;vg 3;Medier og kommunikasjon;93,3%;0,0%;0,0%;6,7%;0,0%
2019/20;Horten videregående skole;vg 3;Medier og kommunikasjon;92,3%;0,0%;3,8%;0,0%;3,8%
2022/23;Horten videregående skole;vg 3;Medier og kommunikasjon;87,5%;0,0%;8,3%;4,2%;0,0%
2017/18;Horten videregående skole;vg 3;Medier og kommunikasjon;83,9%;0,0%;9,7%;3,2%;3,2%
2018/19;Horten videregående skole;vg 3;Medier og kommunikasjon;80,0%;0,0%;20,0%;0,0%;0,0%
2022/23;Horten videregående skole;vg 3;Påbygging;81,5%;5,6%;5,6%;5,6%;1,9%
2019/20;Horten videregående skole;vg 3;Påbygging;81,4%;0,0%;2,3%;11,6%;4,7%
2020/21;Horten videregående skole;vg 3;Påbygging;80,8%;0,0%;1,9%;15,4%;1,9%
2021/22;Horten videregående skole;vg 3;Påbygging;80,0%;5,5%;1,8%;10,9%;1,8%
2017/18;Horten videregående skole;vg 3;Påbygging;71,0%;0,0%;12,9%;12,9%;3,2%
2018/19;Horten videregående skole;vg 3;Påbygging;57,1%;0,0%;14,3%;17,9%;10,7%
2022/23;Horten videregående skole;vg 1;Salg, service og reiseliv;84,2%;0,0%;0,0%;10,5%;5,3%
2021/22;Horten videregående skole;vg 1;Salg, service og reiseliv;70,6%;5,9%;0,0%;11,8%;11,8%
2020/21;Horten videregående skole;vg 1;Salg, service og reiseliv;52,6%;5,3%;0,0%;31,6%;10,5%
2021/22;Horten videregående skole;vg 2;Salg, service og reiseliv;72,7%;0,0%;0,0%;18,2%;9,1%
2022/23;Horten videregående skole;vg 2;Salg, service og reiseliv;53,3%;20,0%;0,0%;20,0%;6,7%
2019/20;Horten videregående skole;vg 1;Service og samferdsel;51,7%;10,3%;13,8%;17,2%;6,9%
2017/18;Horten videregående skole;vg 1;Service og samferdsel;44,8%;0,0%;10,3%;31,0%;13,8%
2018/19;Horten videregående skole;vg 1;Service og samferdsel;40,7%;0,0%;22,2%;25,9%;11,1%
2018/19;Horten videregående skole;vg 2;Service og samferdsel;81,3%;0,0%;12,5%;6,3%;0,0%
2019/20;Horten videregående skole;vg 2;Service og samferdsel;70,0%;0,0%;13,3%;6,7%;10,0%
2020/21;Horten videregående skole;vg 2;Service og samferdsel;69,0%;3,4%;3,4%;17,2%;6,9%
2017/18;Horten videregående skole;vg 2;Service og samferdsel;63,6%;0,0%;12,1%;18,2%;6,1%
2019/20;Horten videregående skole;vg 1;Studiespesialisering;98,7%;0,0%;0,0%;0,7%;0,7%
2017/18;Horten videregående skole;vg 1;Studiespesialisering;96,1%;0,0%;1,3%;1,3%;1,3%
2021/22;Horten videregående skole;vg 1;Studiespesialisering;95,4%;2,6%;0,0%;1,3%;0,7%
2020/21;Horten videregående skole;vg 1;Studiespesialisering;93,8%;2,2%;1,1%;2,2%;0,6%
2018/19;Horten videregående skole;vg 1;Studiespesialisering;89,6%;0,0%;3,7%;4,5%;2,2%
2022/23;Horten videregående skole;vg 1;Studiespesialisering;88,5%;0,7%;8,8%;2,0%;0,0%
2018/19;Horten videregående skole;vg 2;Studiespesialisering;94,0%;0,0%;2,7%;3,3%;0,0%
2020/21;Horten videregående skole;vg 2;Studiespesialisering;91,9%;0,0%;4,0%;3,4%;0,7%
2021/22;Horten videregående skole;vg 2;Studiespesialisering;90,4%;2,4%;1,2%;5,4%;0,6%
2022/23;Horten videregående skole;vg 2;Studiespesialisering;88,9%;4,2%;4,2%;2,8%;0,0%
2019/20;Horten videregående skole;vg 2;Studiespesialisering;87,9%;3,0%;2,3%;5,3%;1,5%
2017/18;Horten videregående skole;vg 2;Studiespesialisering;87,4%;0,0%;6,3%;3,5%;2,8%
2021/22;Horten videregående skole;vg 3;Studiespesialisering;93,0%;0,7%;0,7%;4,9%;0,7%
2017/18;Horten videregående skole;vg 3;Studiespesialisering;92,8%;0,7%;2,0%;3,3%;1,3%
2019/20;Horten videregående skole;vg 3;Studiespesialisering;92,5%;0,0%;0,6%;5,7%;1,3%
2020/21;Horten videregående skole;vg 3;Studiespesialisering;88,5%;0,8%;0,0%;9,2%;1,5%
2018/19;Horten videregående skole;vg 3;Studiespesialisering;87,4%;0,0%;4,4%;7,4%;0,7%
2022/23;Horten videregående skole;vg 3;Studiespesialisering;86,5%;0,6%;7,6%;4,1%;1,2%
2017/18;Horten videregående skole;vg 1;Teknologi- og industrifag;90,0%;0,0%;0,0%;0,0%;10,0%
2019/20;Horten videregående skole;vg 1;Teknologi- og industrifag;86,2%;0,0%;0,0%;6,9%;6,9%
2022/23;Horten videregående skole;vg 1;Teknologi- og industrifag;70,0%;0,0%;13,3%;3,3%;13,3%
2021/22;Horten videregående skole;vg 1;Teknologi- og industrifag;64,5%;9,7%;6,5%;3,2%;16,1%
2020/21;Horten videregående skole;vg 1;Teknologi- og industrifag;41,2%;5,9%;0,0%;35,3%;17,6%
2018/19;Horten videregående skole;vg 1;Teknologi- og industrifag;23,1%;0,0%;38,5%;23,1%;15,4%
2020/21;Horten videregående skole;vg 2;Teknologi- og industrifag;93,8%;0,0%;0,0%;6,3%;0,0%
2022/23;Horten videregående skole;vg 2;Teknologi- og industrifag;91,7%;8,3%;0,0%;0,0%;0,0%
2021/22;Horten videregående skole;vg 2;Teknologi- og industrifag;70,0%;10,0%;10,0%;10,0%;0,0%
2017/18;Horten videregående skole;vg 2;Teknologi- og industrifag;66,7%;0,0%;25,0%;0,0%;8,3%
2018/19;Horten videregående skole;vg 2;Teknologi- og industrifag;66,7%;0,0%;11,1%;11,1%;11,1%
2020/21;Melsom videregående skole;vg 1;Medier og kommunikasjon;85,7%;0,0%;0,0%;0,0%;14,3%
2021/22;Melsom videregående skole;vg 1;Medier og kommunikasjon;77,8%;0,0%;0,0%;22,2%;0,0%
2017/18;Melsom videregående skole;vg 1;Medier og kommunikasjon;76,5%;0,0%;11,8%;5,9%;5,9%
2022/23;Melsom videregående skole;vg 1;Medier og kommunikasjon;66,7%;0,0%;0,0%;16,7%;16,7%
2019/20;Melsom videregående skole;vg 1;Medier og kommunikasjon;64,3%;0,0%;0,0%;28,6%;7,1%
2018/19;Melsom videregående skole;vg 1;Medier og kommunikasjon;62,1%;0,0%;20,7%;17,2%;0,0%
2022/23;Melsom videregående skole;vg 2;Medier og kommunikasjon;87,5%;0,0%;12,5%;0,0%;0,0%
2018/19;Melsom videregående skole;vg 2;Medier og kommunikasjon;82,4%;0,0%;5,9%;11,8%;0,0%
2019/20;Melsom videregående skole;vg 2;Medier og kommunikasjon;75,0%;0,0%;6,3%;12,5%;6,3%
2021/22;Melsom videregående skole;vg 2;Medier og kommunikasjon;72,7%;0,0%;0,0%;27,3%;0,0%
2017/18;Melsom videregående skole;vg 2;Medier og kommunikasjon;68,2%;0,0%;18,2%;9,1%;4,5%
2020/21;Melsom videregående skole;vg 2;Medier og kommunikasjon;62,5%;0,0%;25,0%;12,5%;0,0%
2022/23;Melsom videregående skole;vg 3;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Melsom videregående skole;vg 3;Medier og kommunikasjon;92,9%;0,0%;0,0%;7,1%;0,0%
2019/20;Melsom videregående skole;vg 3;Medier og kommunikasjon;73,3%;0,0%;6,7%;13,3%;6,7%
2018/19;Melsom videregående skole;vg 3;Medier og kommunikasjon;70,0%;0,0%;15,0%;10,0%;5,0%
2017/18;Melsom videregående skole;vg 3;Medier og kommunikasjon;61,1%;0,0%;38,9%;0,0%;0,0%
2021/22;Melsom videregående skole;vg 3;Medier og kommunikasjon;44,4%;0,0%;11,1%;33,3%;11,1%
2020/21;Melsom videregående skole;vg 1;Naturbruk;79,2%;0,0%;3,8%;9,4%;7,5%
2017/18;Melsom videregående skole;vg 1;Naturbruk;77,5%;0,0%;5,0%;10,0%;7,5%
2022/23;Melsom videregående skole;vg 1;Naturbruk;76,2%;0,0%;0,0%;9,5%;14,3%
2021/22;Melsom videregående skole;vg 1;Naturbruk;72,7%;0,0%;9,1%;13,6%;4,5%
2019/20;Melsom videregående skole;vg 1;Naturbruk;67,7%;0,0%;3,2%;25,8%;3,2%
2018/19;Melsom videregående skole;vg 1;Naturbruk;60,0%;0,0%;12,5%;22,5%;5,0%
2018/19;Melsom videregående skole;vg 2;Naturbruk;93,5%;0,0%;0,0%;6,5%;0,0%
2022/23;Melsom videregående skole;vg 2;Naturbruk;93,5%;0,0%;0,0%;3,2%;3,2%
2020/21;Melsom videregående skole;vg 2;Naturbruk;81,8%;0,0%;0,0%;13,6%;4,5%
2017/18;Melsom videregående skole;vg 2;Naturbruk;77,8%;0,0%;7,4%;11,1%;3,7%
2019/20;Melsom videregående skole;vg 2;Naturbruk;77,8%;0,0%;0,0%;18,5%;3,7%
2021/22;Melsom videregående skole;vg 2;Naturbruk;77,3%;0,0%;4,5%;15,9%;2,3%
2021/22;Melsom videregående skole;vg 3;Naturbruk;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Melsom videregående skole;vg 3;Naturbruk;92,9%;0,0%;0,0%;7,1%;0,0%
2019/20;Melsom videregående skole;vg 3;Naturbruk;84,0%;0,0%;0,0%;12,0%;4,0%
2020/21;Melsom videregående skole;vg 3;Naturbruk;81,8%;0,0%;9,1%;9,1%;0,0%
2018/19;Melsom videregående skole;vg 3;Naturbruk;78,6%;0,0%;21,4%;0,0%;0,0%
2017/18;Melsom videregående skole;vg 3;Naturbruk;31,6%;42,1%;15,8%;5,3%;5,3%
2021/22;Melsom videregående skole;vg 3;Påbygging;76,2%;4,8%;4,8%;4,8%;9,5%
2020/21;Melsom videregående skole;vg 3;Påbygging;76,0%;0,0%;20,0%;0,0%;4,0%
2022/23;Melsom videregående skole;vg 3;Påbygging;45,8%;0,0%;20,8%;25,0%;8,3%
2017/18;Melsom videregående skole;vg 3;Påbygging;0,0%;0,0%;100,0%;0,0%;0,0%
2021/22;Melsom videregående skole;vg 1;Studiespesialisering;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Melsom videregående skole;vg 1;Studiespesialisering;92,3%;0,0%;0,0%;7,7%;0,0%
2018/19;Melsom videregående skole;vg 1;Studiespesialisering;87,5%;0,0%;0,0%;12,5%;0,0%
2020/21;Melsom videregående skole;vg 1;Studiespesialisering;86,7%;0,0%;0,0%;0,0%;13,3%
2017/18;Melsom videregående skole;vg 1;Studiespesialisering;84,2%;0,0%;5,3%;10,5%;0,0%
2019/20;Melsom videregående skole;vg 1;Studiespesialisering;83,3%;0,0%;0,0%;8,3%;8,3%
2022/23;Melsom videregående skole;vg 2;Studiespesialisering;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Melsom videregående skole;vg 2;Studiespesialisering;94,1%;0,0%;5,9%;0,0%;0,0%
2018/19;Melsom videregående skole;vg 2;Studiespesialisering;86,7%;0,0%;6,7%;6,7%;0,0%
2020/21;Melsom videregående skole;vg 2;Studiespesialisering;80,0%;0,0%;0,0%;20,0%;0,0%
2021/22;Melsom videregående skole;vg 2;Studiespesialisering;80,0%;0,0%;0,0%;20,0%;0,0%
2017/18;Melsom videregående skole;vg 2;Studiespesialisering;68,8%;0,0%;6,3%;12,5%;12,5%
2018/19;Melsom videregående skole;vg 3;Studiespesialisering;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Melsom videregående skole;vg 3;Studiespesialisering;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Melsom videregående skole;vg 3;Studiespesialisering;87,5%;0,0%;0,0%;0,0%;12,5%
2022/23;Melsom videregående skole;vg 3;Studiespesialisering;87,5%;0,0%;0,0%;0,0%;12,5%
2017/18;Melsom videregående skole;vg 3;Studiespesialisering;60,0%;0,0%;40,0%;0,0%;0,0%
2021/22;Melsom videregående skole;vg 3;Studiespesialisering;50,0%;0,0%;50,0%;0,0%;0,0%
2019/20;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;83,3%;0,0%;7,6%;9,1%;0,0%
2020/21;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;80,7%;0,0%;7,0%;1,8%;10,5%
2021/22;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;76,4%;0,0%;12,7%;3,6%;7,3%
2018/19;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;75,8%;0,0%;12,9%;6,5%;4,8%
2022/23;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;73,9%;0,0%;8,7%;13,0%;4,3%
2017/18;Nøtterøy videregående skole;vg 1;Helse- og oppvekstfag;71,9%;0,0%;15,8%;5,3%;7,0%
2019/20;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;96,8%;1,6%;1,6%;0,0%;0,0%
2020/21;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;91,5%;0,0%;3,4%;3,4%;1,7%
2021/22;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;89,8%;3,4%;1,7%;1,7%;3,4%
2022/23;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;81,0%;0,0%;8,6%;5,2%;5,2%
2018/19;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;80,6%;0,0%;9,7%;9,7%;0,0%
2017/18;Nøtterøy videregående skole;vg 2;Helse- og oppvekstfag;75,8%;0,0%;6,5%;14,5%;3,2%
2020/21;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;100,0%;0,0%;0,0%;0,0%;0,0%
2017/18;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;85,7%;0,0%;14,3%;0,0%;0,0%
2021/22;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;80,0%;0,0%;20,0%;0,0%;0,0%
2022/23;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;78,6%;0,0%;0,0%;7,1%;14,3%
2018/19;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;66,7%;0,0%;16,7%;16,7%;0,0%
2019/20;Nøtterøy videregående skole;vg 3;Helse- og oppvekstfag;60,0%;0,0%;20,0%;20,0%;0,0%
2019/20;Nøtterøy videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Nøtterøy videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Nøtterøy videregående skole;vg 3;Påbygging;92,3%;0,0%;7,7%;0,0%;0,0%
2017/18;Nøtterøy videregående skole;vg 3;Påbygging;90,9%;0,0%;0,0%;0,0%;9,1%
2018/19;Nøtterøy videregående skole;vg 3;Påbygging;86,7%;0,0%;6,7%;0,0%;6,7%
2021/22;Nøtterøy videregående skole;vg 3;Påbygging;84,2%;5,3%;0,0%;10,5%;0,0%
2019/20;Nøtterøy videregående skole;vg 1;Studiespesialisering;96,0%;0,0%;1,3%;1,3%;1,3%
2021/22;Nøtterøy videregående skole;vg 1;Studiespesialisering;92,4%;0,7%;5,5%;0,0%;1,4%
2018/19;Nøtterøy videregående skole;vg 1;Studiespesialisering;92,3%;0,0%;4,4%;2,2%;1,1%
2017/18;Nøtterøy videregående skole;vg 1;Studiespesialisering;90,7%;0,0%;3,1%;4,7%;1,6%
2020/21;Nøtterøy videregående skole;vg 1;Studiespesialisering;90,0%;0,0%;4,6%;3,8%;1,5%
2022/23;Nøtterøy videregående skole;vg 1;Studiespesialisering;89,6%;0,6%;4,6%;4,6%;0,6%
2019/20;Nøtterøy videregående skole;vg 2;Studiespesialisering;93,3%;0,0%;1,1%;3,3%;2,2%
2020/21;Nøtterøy videregående skole;vg 2;Studiespesialisering;93,2%;0,0%;5,4%;1,4%;0,0%
2021/22;Nøtterøy videregående skole;vg 2;Studiespesialisering;90,8%;1,5%;3,1%;4,6%;0,0%
2022/23;Nøtterøy videregående skole;vg 2;Studiespesialisering;90,2%;0,8%;3,0%;6,1%;0,0%
2018/19;Nøtterøy videregående skole;vg 2;Studiespesialisering;90,1%;0,0%;1,7%;5,8%;2,5%
2017/18;Nøtterøy videregående skole;vg 2;Studiespesialisering;84,0%;0,0%;6,1%;7,6%;2,3%
2020/21;Nøtterøy videregående skole;vg 3;Studiespesialisering;92,5%;0,0%;1,9%;4,7%;0,9%
2021/22;Nøtterøy videregående skole;vg 3;Studiespesialisering;92,4%;0,7%;0,7%;5,6%;0,7%
2022/23;Nøtterøy videregående skole;vg 3;Studiespesialisering;92,0%;0,0%;5,8%;2,2%;0,0%
2019/20;Nøtterøy videregående skole;vg 3;Studiespesialisering;90,4%;0,0%;2,6%;6,1%;0,9%
2018/19;Nøtterøy videregående skole;vg 3;Studiespesialisering;87,3%;0,0%;3,2%;9,5%;0,0%
2017/18;Nøtterøy videregående skole;vg 3;Studiespesialisering;86,3%;0,0%;4,3%;7,9%;1,4%
2017/18;Re videregående skole;vg 1;Bygg- og anleggsteknikk;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Re videregående skole;vg 1;Bygg- og anleggsteknikk;98,8%;0,0%;0,0%;0,0%;1,3%
2019/20;Re videregående skole;vg 1;Bygg- og anleggsteknikk;98,7%;0,0%;0,0%;0,0%;1,3%
2018/19;Re videregående skole;vg 1;Bygg- og anleggsteknikk;98,4%;0,0%;1,6%;0,0%;0,0%
2021/22;Re videregående skole;vg 1;Bygg- og anleggsteknikk;97,4%;0,0%;0,0%;1,3%;1,3%
2022/23;Re videregående skole;vg 1;Bygg- og anleggsteknikk;90,7%;1,3%;1,3%;1,3%;5,3%
2019/20;Re videregående skole;vg 2;Bygg- og anleggsteknikk;95,7%;0,0%;0,0%;0,0%;4,3%
2018/19;Re videregående skole;vg 2;Bygg- og anleggsteknikk;94,8%;0,0%;0,0%;1,7%;3,4%
2020/21;Re videregående skole;vg 2;Bygg- og anleggsteknikk;94,8%;0,0%;1,3%;3,9%;0,0%
2021/22;Re videregående skole;vg 2;Bygg- og anleggsteknikk;90,1%;2,8%;0,0%;0,0%;7,0%
2022/23;Re videregående skole;vg 2;Bygg- og anleggsteknikk;84,8%;4,5%;1,5%;6,1%;3,0%
2017/18;Re videregående skole;vg 2;Bygg- og anleggsteknikk;82,7%;0,0%;3,8%;3,8%;9,6%
2020/21;Re videregående skole;vg 1;Helse- og oppvekstfag;98,6%;0,0%;0,0%;0,0%;1,4%
2017/18;Re videregående skole;vg 1;Helse- og oppvekstfag;97,2%;0,0%;0,0%;2,8%;0,0%
2019/20;Re videregående skole;vg 1;Helse- og oppvekstfag;91,8%;0,0%;0,0%;3,3%;4,9%
2021/22;Re videregående skole;vg 1;Helse- og oppvekstfag;91,7%;3,3%;1,7%;1,7%;1,7%
2018/19;Re videregående skole;vg 1;Helse- og oppvekstfag;91,7%;0,0%;1,7%;5,0%;1,7%
2022/23;Re videregående skole;vg 1;Helse- og oppvekstfag;90,7%;2,7%;1,3%;1,3%;4,0%
2019/20;Re videregående skole;vg 2;Helse- og oppvekstfag;98,3%;0,0%;0,0%;1,7%;0,0%
2020/21;Re videregående skole;vg 2;Helse- og oppvekstfag;95,2%;0,0%;0,0%;3,2%;1,6%
2018/19;Re videregående skole;vg 2;Helse- og oppvekstfag;91,9%;0,0%;6,5%;1,6%;0,0%
2017/18;Re videregående skole;vg 2;Helse- og oppvekstfag;88,7%;0,0%;3,2%;6,5%;1,6%
2021/22;Re videregående skole;vg 2;Helse- og oppvekstfag;86,3%;5,5%;2,7%;2,7%;2,7%
2022/23;Re videregående skole;vg 2;Helse- og oppvekstfag;83,3%;8,3%;3,3%;1,7%;3,3%
