Skoleår;Skole;Nivå;Utdanningsprogram;B;H;I;M;S
2020/21;Re videregående skole;vg 1;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Re videregående skole;vg 1;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Re videregående skole;vg 1;Idrettsfag;98,3%;0,0%;1,7%;0,0%;0,0%
2022/23;Re videregående skole;vg 1;Idrettsfag;98,3%;0,0%;1,7%;0,0%;0,0%
2018/19;Re videregående skole;vg 1;Idrettsfag;96,6%;0,0%;0,0%;1,7%;1,7%
2017/18;Re videregående skole;vg 1;Idrettsfag;90,4%;0,0%;3,8%;1,9%;3,8%
2019/20;Re videregående skole;vg 2;Idrettsfag;97,7%;0,0%;2,3%;0,0%;0,0%
2022/23;Re videregående skole;vg 2;Idrettsfag;96,5%;1,8%;1,8%;0,0%;0,0%
2021/22;Re videregående skole;vg 2;Idrettsfag;96,4%;0,0%;1,8%;1,8%;0,0%
2017/18;Re videregående skole;vg 2;Idrettsfag;96,2%;0,0%;3,8%;0,0%;0,0%
2020/21;Re videregående skole;vg 2;Idrettsfag;94,9%;0,0%;1,7%;1,7%;1,7%
2018/19;Re videregående skole;vg 2;Idrettsfag;93,8%;0,0%;2,1%;4,2%;0,0%
2019/20;Re videregående skole;vg 3;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Re videregående skole;vg 3;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Re videregående skole;vg 3;Idrettsfag;97,8%;0,0%;0,0%;2,2%;0,0%
2022/23;Re videregående skole;vg 3;Idrettsfag;94,8%;0,0%;0,0%;3,4%;1,7%
2017/18;Re videregående skole;vg 3;Idrettsfag;88,3%;0,0%;6,7%;5,0%;0,0%
2018/19;Re videregående skole;vg 3;Idrettsfag;87,8%;0,0%;8,2%;4,1%;0,0%
2019/20;Re videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Re videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Re videregående skole;vg 3;Påbygging;96,7%;3,3%;0,0%;0,0%;0,0%
2020/21;Re videregående skole;vg 3;Påbygging;96,6%;0,0%;0,0%;3,4%;0,0%
2017/18;Re videregående skole;vg 3;Påbygging;93,3%;0,0%;3,3%;3,3%;0,0%
2018/19;Re videregående skole;vg 3;Påbygging;85,7%;0,0%;0,0%;14,3%;0,0%
2020/21;Re videregående skole;vg 1;Studiespesialisering;97,2%;0,0%;2,8%;0,0%;0,0%
2017/18;Re videregående skole;vg 1;Studiespesialisering;96,1%;0,0%;0,0%;2,9%;1,0%
2019/20;Re videregående skole;vg 1;Studiespesialisering;95,7%;0,0%;0,0%;4,3%;0,0%
2021/22;Re videregående skole;vg 1;Studiespesialisering;93,2%;4,2%;0,0%;1,7%;0,8%
2018/19;Re videregående skole;vg 1;Studiespesialisering;90,2%;0,0%;6,5%;3,3%;0,0%
2022/23;Re videregående skole;vg 1;Studiespesialisering;88,8%;5,6%;3,4%;2,2%;0,0%
2019/20;Re videregående skole;vg 2;Studiespesialisering;94,4%;0,0%;0,8%;4,8%;0,0%
2021/22;Re videregående skole;vg 2;Studiespesialisering;93,8%;0,0%;3,1%;1,0%;2,1%
2020/21;Re videregående skole;vg 2;Studiespesialisering;93,5%;0,0%;3,3%;3,3%;0,0%
2022/23;Re videregående skole;vg 2;Studiespesialisering;91,7%;1,7%;3,3%;2,5%;0,8%
2017/18;Re videregående skole;vg 2;Studiespesialisering;88,8%;0,0%;4,7%;5,6%;0,9%
2018/19;Re videregående skole;vg 2;Studiespesialisering;80,2%;0,0%;8,9%;9,9%;1,0%
2021/22;Re videregående skole;vg 3;Studiespesialisering;96,6%;1,1%;0,0%;1,1%;1,1%
2019/20;Re videregående skole;vg 3;Studiespesialisering;95,9%;0,0%;0,0%;2,1%;2,1%
2020/21;Re videregående skole;vg 3;Studiespesialisering;93,5%;0,0%;2,8%;3,7%;0,0%
2018/19;Re videregående skole;vg 3;Studiespesialisering;91,8%;0,0%;5,1%;3,1%;0,0%
2022/23;Re videregående skole;vg 3;Studiespesialisering;91,6%;2,1%;2,1%;4,2%;0,0%
2017/18;Re videregående skole;vg 3;Studiespesialisering;80,5%;0,0%;12,4%;6,2%;0,9%
2022/23;Sande videregående skole;vg 1;Elektro og datateknologi;96,4%;0,0%;0,0%;0,0%;3,6%
2021/22;Sande videregående skole;vg 1;Elektro og datateknologi;93,3%;6,7%;0,0%;0,0%;0,0%
2018/19;Sande videregående skole;vg 1;Elektro og datateknologi;93,3%;0,0%;3,3%;3,3%;0,0%
2017/18;Sande videregående skole;vg 1;Elektro og datateknologi;84,6%;0,0%;11,5%;0,0%;3,8%
2020/21;Sande videregående skole;vg 1;Elektro og datateknologi;80,0%;0,0%;16,7%;3,3%;0,0%
2019/20;Sande videregående skole;vg 1;Elektro og datateknologi;66,7%;3,3%;10,0%;20,0%;0,0%
2019/20;Sande videregående skole;vg 2;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Sande videregående skole;vg 2;Elektro og datateknologi;96,4%;0,0%;0,0%;3,6%;0,0%
2018/19;Sande videregående skole;vg 2;Elektro og datateknologi;93,8%;0,0%;0,0%;6,3%;0,0%
2022/23;Sande videregående skole;vg 2;Elektro og datateknologi;92,9%;0,0%;7,1%;0,0%;0,0%
2020/21;Sande videregående skole;vg 2;Elektro og datateknologi;87,5%;0,0%;0,0%;12,5%;0,0%
2017/18;Sande videregående skole;vg 2;Elektro og datateknologi;81,3%;0,0%;12,5%;0,0%;6,3%
2020/21;Sande videregående skole;vg 1;Helse- og oppvekstfag;94,1%;0,0%;5,9%;0,0%;0,0%
2017/18;Sande videregående skole;vg 1;Helse- og oppvekstfag;86,7%;0,0%;6,7%;0,0%;6,7%
2018/19;Sande videregående skole;vg 1;Helse- og oppvekstfag;86,5%;2,7%;8,1%;2,7%;0,0%
2019/20;Sande videregående skole;vg 1;Helse- og oppvekstfag;84,4%;0,0%;0,0%;9,4%;6,3%
2021/22;Sande videregående skole;vg 1;Helse- og oppvekstfag;80,4%;8,9%;3,6%;5,4%;1,8%
2022/23;Sande videregående skole;vg 1;Helse- og oppvekstfag;64,5%;6,5%;6,5%;9,7%;12,9%
2017/18;Sande videregående skole;vg 2;Helse- og oppvekstfag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Sande videregående skole;vg 2;Helse- og oppvekstfag;97,0%;3,0%;0,0%;0,0%;0,0%
2020/21;Sande videregående skole;vg 2;Helse- og oppvekstfag;96,8%;0,0%;0,0%;3,2%;0,0%
2022/23;Sande videregående skole;vg 2;Helse- og oppvekstfag;95,8%;0,0%;4,2%;0,0%;0,0%
2019/20;Sande videregående skole;vg 2;Helse- og oppvekstfag;94,1%;2,9%;0,0%;0,0%;2,9%
2018/19;Sande videregående skole;vg 2;Helse- og oppvekstfag;74,1%;0,0%;11,1%;14,8%;0,0%
2018/19;Sande videregående skole;vg 1;Idrettsfag;95,8%;4,2%;0,0%;0,0%;0,0%
2020/21;Sande videregående skole;vg 1;Idrettsfag;95,8%;0,0%;0,0%;4,2%;0,0%
2022/23;Sande videregående skole;vg 1;Idrettsfag;95,5%;0,0%;4,5%;0,0%;0,0%
2021/22;Sande videregående skole;vg 1;Idrettsfag;90,0%;5,0%;0,0%;0,0%;5,0%
2017/18;Sande videregående skole;vg 1;Idrettsfag;89,5%;5,3%;0,0%;5,3%;0,0%
2019/20;Sande videregående skole;vg 1;Idrettsfag;81,5%;14,8%;0,0%;3,7%;0,0%
2020/21;Sande videregående skole;vg 2;Idrettsfag;95,0%;0,0%;0,0%;5,0%;0,0%
2022/23;Sande videregående skole;vg 2;Idrettsfag;94,4%;0,0%;0,0%;5,6%;0,0%
2021/22;Sande videregående skole;vg 2;Idrettsfag;91,3%;0,0%;8,7%;0,0%;0,0%
2019/20;Sande videregående skole;vg 2;Idrettsfag;90,9%;0,0%;4,5%;4,5%;0,0%
2018/19;Sande videregående skole;vg 2;Idrettsfag;72,2%;11,1%;16,7%;0,0%;0,0%
2017/18;Sande videregående skole;vg 2;Idrettsfag;69,0%;0,0%;10,3%;20,7%;0,0%
2019/20;Sande videregående skole;vg 3;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Sande videregående skole;vg 3;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Sande videregående skole;vg 3;Idrettsfag;86,4%;0,0%;0,0%;13,6%;0,0%
2018/19;Sande videregående skole;vg 3;Idrettsfag;85,2%;3,7%;11,1%;0,0%;0,0%
2017/18;Sande videregående skole;vg 3;Idrettsfag;77,8%;7,4%;7,4%;7,4%;0,0%
2022/23;Sande videregående skole;vg 3;Idrettsfag;69,6%;0,0%;13,0%;17,4%;0,0%
2019/20;Sande videregående skole;vg 1;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Sande videregående skole;vg 1;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Sande videregående skole;vg 1;Medier og kommunikasjon;91,7%;0,0%;0,0%;8,3%;0,0%
2018/19;Sande videregående skole;vg 1;Medier og kommunikasjon;76,5%;5,9%;17,6%;0,0%;0,0%
2017/18;Sande videregående skole;vg 1;Medier og kommunikasjon;68,4%;10,5%;10,5%;5,3%;5,3%
2020/21;Sande videregående skole;vg 2;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Sande videregående skole;vg 2;Medier og kommunikasjon;91,7%;0,0%;0,0%;0,0%;8,3%
2019/20;Sande videregående skole;vg 2;Medier og kommunikasjon;86,7%;13,3%;0,0%;0,0%;0,0%
2022/23;Sande videregående skole;vg 2;Medier og kommunikasjon;85,7%;0,0%;14,3%;0,0%;0,0%
2017/18;Sande videregående skole;vg 2;Medier og kommunikasjon;81,3%;6,3%;12,5%;0,0%;0,0%
2018/19;Sande videregående skole;vg 2;Medier og kommunikasjon;75,0%;8,3%;8,3%;8,3%;0,0%
2021/22;Sande videregående skole;vg 3;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Sande videregående skole;vg 3;Medier og kommunikasjon;90,9%;0,0%;0,0%;9,1%;0,0%
2019/20;Sande videregående skole;vg 3;Medier og kommunikasjon;90,0%;10,0%;0,0%;0,0%;0,0%
2020/21;Sande videregående skole;vg 3;Medier og kommunikasjon;81,3%;0,0%;0,0%;18,8%;0,0%
2018/19;Sande videregående skole;vg 3;Medier og kommunikasjon;70,6%;17,6%;11,8%;0,0%;0,0%
2017/18;Sande videregående skole;vg 3;Medier og kommunikasjon;55,0%;5,0%;20,0%;15,0%;5,0%
2020/21;Sande videregående skole;vg 3;Påbygging;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Sande videregående skole;vg 3;Påbygging;94,4%;0,0%;0,0%;5,6%;0,0%
2021/22;Sande videregående skole;vg 3;Påbygging;93,8%;0,0%;0,0%;6,3%;0,0%
2019/20;Sande videregående skole;vg 3;Påbygging;89,3%;10,7%;0,0%;0,0%;0,0%
2017/18;Sande videregående skole;vg 3;Påbygging;65,5%;3,4%;10,3%;3,4%;17,2%
2018/19;Sande videregående skole;vg 3;Påbygging;60,0%;5,0%;25,0%;5,0%;5,0%
2019/20;Sande videregående skole;vg 1;Studiespesialisering;98,0%;0,0%;0,0%;2,0%;0,0%
2020/21;Sande videregående skole;vg 1;Studiespesialisering;94,7%;0,0%;0,0%;0,0%;5,3%
2018/19;Sande videregående skole;vg 1;Studiespesialisering;94,4%;1,9%;1,9%;1,9%;0,0%
2017/18;Sande videregående skole;vg 1;Studiespesialisering;92,3%;3,8%;3,8%;0,0%;0,0%
2021/22;Sande videregående skole;vg 1;Studiespesialisering;89,2%;8,1%;2,7%;0,0%;0,0%
2022/23;Sande videregående skole;vg 1;Studiespesialisering;85,4%;9,8%;0,0%;2,4%;2,4%
2020/21;Sande videregående skole;vg 2;Studiespesialisering;98,1%;0,0%;0,0%;0,0%;1,9%
2021/22;Sande videregående skole;vg 2;Studiespesialisering;97,3%;0,0%;2,7%;0,0%;0,0%
2018/19;Sande videregående skole;vg 2;Studiespesialisering;91,5%;2,1%;4,3%;0,0%;2,1%
2019/20;Sande videregående skole;vg 2;Studiespesialisering;90,2%;2,0%;0,0%;7,8%;0,0%
2022/23;Sande videregående skole;vg 2;Studiespesialisering;89,5%;0,0%;5,3%;5,3%;0,0%
2017/18;Sande videregående skole;vg 2;Studiespesialisering;85,2%;1,6%;6,6%;3,3%;3,3%
2021/22;Sande videregående skole;vg 3;Studiespesialisering;98,0%;0,0%;0,0%;2,0%;0,0%
2019/20;Sande videregående skole;vg 3;Studiespesialisering;97,7%;2,3%;0,0%;0,0%;0,0%
2020/21;Sande videregående skole;vg 3;Studiespesialisering;95,8%;2,1%;2,1%;0,0%;0,0%
2022/23;Sande videregående skole;vg 3;Studiespesialisering;94,3%;2,9%;2,9%;0,0%;0,0%
2017/18;Sande videregående skole;vg 3;Studiespesialisering;88,1%;1,7%;1,7%;6,8%;1,7%
2018/19;Sande videregående skole;vg 3;Studiespesialisering;86,4%;1,7%;6,8%;5,1%;0,0%
2021/22;Sande videregående skole;vg 1;Teknologi- og industrifag;80,0%;13,3%;6,7%;0,0%;0,0%
2020/21;Sande videregående skole;vg 1;Teknologi- og industrifag;80,0%;0,0%;0,0%;13,3%;6,7%
2019/20;Sande videregående skole;vg 1;Teknologi- og industrifag;78,6%;0,0%;14,3%;7,1%;0,0%
2022/23;Sande videregående skole;vg 1;Teknologi- og industrifag;63,0%;7,4%;3,7%;14,8%;11,1%
2018/19;Sande videregående skole;vg 1;Teknologi- og industrifag;62,5%;0,0%;25,0%;6,3%;6,3%
2017/18;Sande videregående skole;vg 1;Teknologi- og industrifag;42,9%;0,0%;50,0%;7,1%;0,0%
2022/23;Sande videregående skole;vg 2;Teknologi- og industrifag;92,9%;0,0%;0,0%;7,1%;0,0%
2017/18;Sande videregående skole;vg 2;Teknologi- og industrifag;92,3%;7,7%;0,0%;0,0%;0,0%
2018/19;Sande videregående skole;vg 2;Teknologi- og industrifag;85,7%;0,0%;14,3%;0,0%;0,0%
2019/20;Sande videregående skole;vg 2;Teknologi- og industrifag;81,8%;9,1%;9,1%;0,0%;0,0%
2021/22;Sande videregående skole;vg 2;Teknologi- og industrifag;75,0%;0,0%;0,0%;12,5%;12,5%
2020/21;Sande videregående skole;vg 2;Teknologi- og industrifag;66,7%;0,0%;0,0%;25,0%;8,3%
2018/19;Sandefjord videregående skole;vg 1;Design og håndverk;66,7%;0,0%;2,8%;22,2%;8,3%
2017/18;Sandefjord videregående skole;vg 1;Design og håndverk;65,5%;3,4%;6,9%;13,8%;10,3%
2019/20;Sandefjord videregående skole;vg 1;Design og håndverk;60,5%;0,0%;4,7%;23,3%;11,6%
2020/21;Sandefjord videregående skole;vg 2;Design og håndverk;87,9%;3,0%;0,0%;6,1%;3,0%
2018/19;Sandefjord videregående skole;vg 2;Design og håndverk;75,0%;0,0%;0,0%;12,5%;12,5%
2017/18;Sandefjord videregående skole;vg 2;Design og håndverk;71,4%;0,0%;9,5%;19,0%;0,0%
2019/20;Sandefjord videregående skole;vg 2;Design og håndverk;62,5%;0,0%;0,0%;29,2%;8,3%
2021/22;Sandefjord videregående skole;vg 3;Design og håndverk;84,6%;0,0%;0,0%;0,0%;15,4%
2020/21;Sandefjord videregående skole;vg 3;Design og håndverk;66,7%;0,0%;0,0%;33,3%;0,0%
2022/23;Sandefjord videregående skole;vg 1;Elektro og datateknologi;93,5%;3,2%;3,2%;0,0%;0,0%
2020/21;Sandefjord videregående skole;vg 1;Elektro og datateknologi;92,9%;0,0%;3,6%;0,0%;3,6%
2017/18;Sandefjord videregående skole;vg 1;Elektro og datateknologi;90,0%;0,0%;3,3%;3,3%;3,3%
2018/19;Sandefjord videregående skole;vg 1;Elektro og datateknologi;89,3%;0,0%;7,1%;3,6%;0,0%
2021/22;Sandefjord videregående skole;vg 1;Elektro og datateknologi;85,7%;3,6%;3,6%;3,6%;3,6%
2019/20;Sandefjord videregående skole;vg 1;Elektro og datateknologi;83,3%;0,0%;6,7%;6,7%;3,3%
2017/18;Sandefjord videregående skole;vg 2;Elektro og datateknologi;95,5%;0,0%;4,5%;0,0%;0,0%
2019/20;Sandefjord videregående skole;vg 2;Elektro og datateknologi;91,7%;0,0%;4,2%;0,0%;4,2%
2020/21;Sandefjord videregående skole;vg 2;Elektro og datateknologi;89,7%;0,0%;3,4%;3,4%;3,4%
2018/19;Sandefjord videregående skole;vg 2;Elektro og datateknologi;83,3%;12,5%;0,0%;0,0%;4,2%
2022/23;Sandefjord videregående skole;vg 2;Elektro og datateknologi;77,8%;0,0%;18,5%;0,0%;3,7%
2021/22;Sandefjord videregående skole;vg 2;Elektro og datateknologi;70,4%;14,8%;3,7%;0,0%;11,1%
2018/19;Sandefjord videregående skole;vg 3;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Sandefjord videregående skole;vg 3;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2017/18;Sandefjord videregående skole;vg 3;Elektro og datateknologi;90,9%;0,0%;0,0%;0,0%;9,1%
2020/21;Sandefjord videregående skole;vg 3;Elektro og datateknologi;80,0%;0,0%;10,0%;0,0%;10,0%
2022/23;Sandefjord videregående skole;vg 3;Elektro og datateknologi;70,0%;0,0%;10,0%;10,0%;10,0%
2021/22;Sandefjord videregående skole;vg 3;Elektro og datateknologi;63,6%;0,0%;36,4%;0,0%;0,0%
2022/23;Sandefjord videregående skole;vg 1;Frisør,blomst,int,eksp.design;65,1%;4,7%;7,0%;9,3%;14,0%
2020/21;Sandefjord videregående skole;vg 1;Frisør,blomst,int,eksp.design;63,0%;0,0%;7,4%;18,5%;11,1%
2021/22;Sandefjord videregående skole;vg 1;Frisør,blomst,int,eksp.design;60,5%;20,9%;7,0%;0,0%;11,6%
2021/22;Sandefjord videregående skole;vg 2;Frisør,blomst,int,eksp.design;89,5%;5,3%;0,0%;0,0%;5,3%
2022/23;Sandefjord videregående skole;vg 2;Frisør,blomst,int,eksp.design;70,6%;9,8%;0,0%;7,8%;11,8%
2022/23;Sandefjord videregående skole;vg 3;Frisør,blomst,int,eksp.design;88,9%;0,0%;0,0%;11,1%;0,0%
2021/22;Sandefjord videregående skole;vg 1;Helse- og oppvekstfag;81,9%;4,8%;2,9%;1,9%;8,6%
2018/19;Sandefjord videregående skole;vg 1;Helse- og oppvekstfag;78,8%;1,8%;8,0%;8,0%;3,5%
2022/23;Sandefjord videregående skole;vg 1;Helse- og oppvekstfag;74,7%;1,1%;8,4%;7,4%;8,4%
2017/18;Sandefjord videregående skole;vg 1;Helse- og oppvekstfag;74,5%;1,0%;6,9%;11,8%;5,9%
2019/20;Sandefjord videregående skole;vg 1;Helse- og oppvekstfag;74,1%;0,0%;8,6%;8,6%;8,6%
2020/21;Sandefjord videregående skole;vg 1;Helse- og oppvekstfag;71,7%;0,0%;4,4%;11,5%;12,4%
2019/20;Sandefjord videregående skole;vg 2;Helse- og oppvekstfag;90,4%;0,0%;0,9%;7,0%;1,7%
2021/22;Sandefjord videregående skole;vg 2;Helse- og oppvekstfag;86,3%;2,0%;2,9%;3,9%;4,9%
2020/21;Sandefjord videregående skole;vg 2;Helse- og oppvekstfag;86,1%;0,0%;2,8%;6,5%;4,6%
2022/23;Sandefjord videregående skole;vg 2;Helse- og oppvekstfag;81,8%;3,0%;4,0%;8,1%;3,0%
2017/18;Sandefjord videregående skole;vg 2;Helse- og oppvekstfag;78,1%;1,4%;8,2%;8,2%;4,1%
2018/19;Sandefjord videregående skole;vg 2;Helse- og oppvekstfag;70,6%;1,0%;12,7%;10,8%;4,9%
2020/21;Sandefjord videregående skole;vg 3;Helse- og oppvekstfag;83,3%;0,0%;8,3%;4,2%;4,2%
2017/18;Sandefjord videregående skole;vg 3;Helse- og oppvekstfag;83,3%;0,0%;5,6%;0,0%;11,1%
2022/23;Sandefjord videregående skole;vg 3;Helse- og oppvekstfag;82,6%;0,0%;8,7%;4,3%;4,3%
2018/19;Sandefjord videregående skole;vg 3;Helse- og oppvekstfag;77,3%;0,0%;0,0%;22,7%;0,0%
2021/22;Sandefjord videregående skole;vg 3;Helse- og oppvekstfag;68,4%;5,3%;21,1%;5,3%;0,0%
2019/20;Sandefjord videregående skole;vg 3;Helse- og oppvekstfag;63,6%;0,0%;0,0%;36,4%;0,0%
2021/22;Sandefjord videregående skole;vg 1;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2018/19;Sandefjord videregående skole;vg 1;Idrettsfag;97,0%;0,0%;0,0%;3,0%;0,0%
2019/20;Sandefjord videregående skole;vg 1;Idrettsfag;96,9%;0,0%;3,1%;0,0%;0,0%
2017/18;Sandefjord videregående skole;vg 1;Idrettsfag;96,9%;0,0%;0,0%;3,1%;0,0%
2020/21;Sandefjord videregående skole;vg 1;Idrettsfag;93,3%;0,0%;0,0%;3,3%;3,3%
2022/23;Sandefjord videregående skole;vg 1;Idrettsfag;90,6%;3,1%;3,1%;3,1%;0,0%
2022/23;Sandefjord videregående skole;vg 2;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Sandefjord videregående skole;vg 2;Idrettsfag;96,6%;0,0%;0,0%;3,4%;0,0%
2021/22;Sandefjord videregående skole;vg 2;Idrettsfag;96,0%;0,0%;4,0%;0,0%;0,0%
2020/21;Sandefjord videregående skole;vg 2;Idrettsfag;93,8%;0,0%;3,1%;3,1%;0,0%
2018/19;Sandefjord videregående skole;vg 2;Idrettsfag;90,3%;3,2%;0,0%;6,5%;0,0%
2017/18;Sandefjord videregående skole;vg 2;Idrettsfag;83,9%;0,0%;9,7%;6,5%;0,0%
2021/22;Sandefjord videregående skole;vg 3;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Sandefjord videregående skole;vg 3;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2019/20;Sandefjord videregående skole;vg 3;Idrettsfag;96,8%;0,0%;0,0%;0,0%;3,2%
2020/21;Sandefjord videregående skole;vg 3;Idrettsfag;96,6%;0,0%;0,0%;3,4%;0,0%
2017/18;Sandefjord videregående skole;vg 3;Idrettsfag;80,6%;3,2%;6,5%;9,7%;0,0%
2018/19;Sandefjord videregående skole;vg 3;Idrettsfag;75,8%;0,0%;12,1%;9,1%;3,0%
2020/21;Sandefjord videregående skole;vg 1;IT og medieproduksjon;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Sandefjord videregående skole;vg 1;IT og medieproduksjon;94,1%;0,0%;2,9%;0,0%;2,9%
2022/23;Sandefjord videregående skole;vg 1;IT og medieproduksjon;84,8%;3,0%;3,0%;6,1%;3,0%
2021/22;Sandefjord videregående skole;vg 2;IT og medieproduksjon;82,1%;0,0%;3,6%;10,7%;3,6%
2022/23;Sandefjord videregående skole;vg 2;IT og medieproduksjon;80,0%;0,0%;3,3%;13,3%;3,3%
2018/19;Sandefjord videregående skole;vg 1;Kunst, design og arkitektur;71,4%;0,0%;7,1%;17,9%;3,6%
2020/21;Sandefjord videregående skole;vg 1;Kunst, design og arkitektur;70,4%;0,0%;3,7%;14,8%;11,1%
2017/18;Sandefjord videregående skole;vg 1;Kunst, design og arkitektur;68,4%;5,3%;10,5%;10,5%;5,3%
2021/22;Sandefjord videregående skole;vg 1;Kunst, design og arkitektur;66,7%;16,7%;13,3%;0,0%;3,3%
2022/23;Sandefjord videregående skole;vg 1;Kunst, design og arkitektur;64,5%;16,1%;9,7%;9,7%;0,0%
2019/20;Sandefjord videregående skole;vg 1;Kunst, design og arkitektur;57,1%;0,0%;7,1%;21,4%;14,3%
2018/19;Sandefjord videregående skole;vg 2;Kunst, design og arkitektur;76,9%;0,0%;7,7%;15,4%;0,0%
2021/22;Sandefjord videregående skole;vg 2;Kunst, design og arkitektur;75,0%;8,3%;4,2%;8,3%;4,2%
2022/23;Sandefjord videregående skole;vg 2;Kunst, design og arkitektur;72,7%;4,5%;9,1%;13,6%;0,0%
2019/20;Sandefjord videregående skole;vg 2;Kunst, design og arkitektur;72,7%;0,0%;9,1%;18,2%;0,0%
2020/21;Sandefjord videregående skole;vg 2;Kunst, design og arkitektur;72,7%;0,0%;0,0%;13,6%;13,6%
2017/18;Sandefjord videregående skole;vg 2;Kunst, design og arkitektur;71,9%;9,4%;15,6%;0,0%;3,1%
2021/22;Sandefjord videregående skole;vg 3;Kunst, design og arkitektur;94,7%;0,0%;0,0%;5,3%;0,0%
2019/20;Sandefjord videregående skole;vg 3;Kunst, design og arkitektur;90,9%;0,0%;0,0%;9,1%;0,0%
2020/21;Sandefjord videregående skole;vg 3;Kunst, design og arkitektur;84,2%;0,0%;0,0%;15,8%;0,0%
2018/19;Sandefjord videregående skole;vg 3;Kunst, design og arkitektur;83,3%;0,0%;8,3%;8,3%;0,0%
2022/23;Sandefjord videregående skole;vg 3;Kunst, design og arkitektur;77,8%;16,7%;0,0%;5,6%;0,0%
2019/20;Sandefjord videregående skole;vg 1;Musikk, dans og drama;89,8%;2,0%;6,1%;0,0%;2,0%
2022/23;Sandefjord videregående skole;vg 1;Musikk, dans og drama;89,1%;6,5%;0,0%;4,3%;0,0%
2017/18;Sandefjord videregående skole;vg 1;Musikk, dans og drama;84,8%;0,0%;9,1%;6,1%;0,0%
2018/19;Sandefjord videregående skole;vg 1;Musikk, dans og drama;79,6%;0,0%;6,1%;12,2%;2,0%
2020/21;Sandefjord videregående skole;vg 1;Musikk, dans og drama;79,5%;12,8%;5,1%;2,6%;0,0%
2021/22;Sandefjord videregående skole;vg 1;Musikk, dans og drama;78,0%;8,0%;6,0%;6,0%;2,0%
2017/18;Sandefjord videregående skole;vg 2;Musikk, dans og drama;95,9%;0,0%;0,0%;4,1%;0,0%
2022/23;Sandefjord videregående skole;vg 2;Musikk, dans og drama;85,7%;4,8%;4,8%;2,4%;2,4%
