Skoleår;Skole;Nivå;Utdanningsprogram;B;H;I;M;S
2020/21;Sandefjord videregående skole;vg 2;Musikk, dans og drama;84,4%;8,9%;4,4%;0,0%;2,2%
2021/22;Sandefjord videregående skole;vg 2;Musikk, dans og drama;83,3%;2,8%;5,6%;5,6%;2,8%
2019/20;Sandefjord videregående skole;vg 2;Musikk, dans og drama;80,4%;2,2%;4,3%;13,0%;0,0%
2018/19;Sandefjord videregående skole;vg 2;Musikk, dans og drama;71,0%;0,0%;3,2%;16,1%;9,7%
2021/22;Sandefjord videregående skole;vg 3;Musikk, dans og drama;91,1%;4,4%;2,2%;2,2%;0,0%
2017/18;Sandefjord videregående skole;vg 3;Musikk, dans og drama;90,7%;0,0%;2,3%;4,7%;2,3%
2020/21;Sandefjord videregående skole;vg 3;Musikk, dans og drama;88,4%;2,3%;0,0%;4,7%;4,7%
2022/23;Sandefjord videregående skole;vg 3;Musikk, dans og drama;88,2%;8,8%;0,0%;0,0%;2,9%
2018/19;Sandefjord videregående skole;vg 3;Musikk, dans og drama;84,9%;0,0%;1,9%;7,5%;5,7%
2019/20;Sandefjord videregående skole;vg 3;Musikk, dans og drama;84,6%;3,8%;3,8%;3,8%;3,8%
2019/20;Sandefjord videregående skole;vg 3;Påbygging;86,1%;2,8%;1,4%;6,9%;2,8%
2022/23;Sandefjord videregående skole;vg 3;Påbygging;82,9%;4,9%;3,7%;4,9%;3,7%
2020/21;Sandefjord videregående skole;vg 3;Påbygging;81,8%;3,9%;6,5%;5,2%;2,6%
2018/19;Sandefjord videregående skole;vg 3;Påbygging;78,4%;4,1%;9,5%;5,4%;2,7%
2021/22;Sandefjord videregående skole;vg 3;Påbygging;73,6%;8,5%;6,6%;8,5%;2,8%
2017/18;Sandefjord videregående skole;vg 3;Påbygging;64,2%;6,4%;12,8%;3,7%;12,8%
2018/19;Sandefjord videregående skole;vg 1;Restaurant- og matfag;81,5%;0,0%;0,0%;11,1%;7,4%
2020/21;Sandefjord videregående skole;vg 1;Restaurant- og matfag;78,6%;0,0%;0,0%;10,7%;10,7%
2022/23;Sandefjord videregående skole;vg 1;Restaurant- og matfag;73,7%;10,5%;0,0%;10,5%;5,3%
2017/18;Sandefjord videregående skole;vg 1;Restaurant- og matfag;60,0%;0,0%;15,0%;10,0%;15,0%
2019/20;Sandefjord videregående skole;vg 1;Restaurant- og matfag;52,2%;0,0%;13,0%;17,4%;17,4%
2019/20;Sandefjord videregående skole;vg 2;Restaurant- og matfag;91,3%;0,0%;0,0%;4,3%;4,3%
2017/18;Sandefjord videregående skole;vg 2;Restaurant- og matfag;83,3%;0,0%;5,6%;5,6%;5,6%
2018/19;Sandefjord videregående skole;vg 2;Restaurant- og matfag;81,8%;0,0%;0,0%;18,2%;0,0%
2021/22;Sandefjord videregående skole;vg 2;Restaurant- og matfag;80,0%;0,0%;6,7%;6,7%;6,7%
2020/21;Sandefjord videregående skole;vg 2;Restaurant- og matfag;69,2%;7,7%;0,0%;23,1%;0,0%
2020/21;Sandefjord videregående skole;vg 1;Salg, service og reiseliv;80,0%;0,0%;2,9%;11,4%;5,7%
2022/23;Sandefjord videregående skole;vg 1;Salg, service og reiseliv;75,0%;1,3%;0,0%;11,8%;11,8%
2021/22;Sandefjord videregående skole;vg 1;Salg, service og reiseliv;73,1%;6,0%;0,0%;7,5%;13,4%
2022/23;Sandefjord videregående skole;vg 2;Salg, service og reiseliv;86,4%;0,0%;0,0%;6,8%;6,8%
2021/22;Sandefjord videregående skole;vg 2;Salg, service og reiseliv;79,7%;1,6%;0,0%;10,9%;7,8%
2019/20;Sandefjord videregående skole;vg 1;Service og samferdsel;80,6%;0,0%;9,2%;8,2%;2,0%
2017/18;Sandefjord videregående skole;vg 1;Service og samferdsel;79,4%;0,0%;4,4%;10,3%;5,9%
2018/19;Sandefjord videregående skole;vg 1;Service og samferdsel;64,9%;0,0%;4,1%;18,9%;12,2%
2020/21;Sandefjord videregående skole;vg 2;Service og samferdsel;89,0%;0,0%;1,7%;7,6%;1,7%
2017/18;Sandefjord videregående skole;vg 2;Service og samferdsel;82,0%;0,0%;2,0%;9,0%;7,0%
2018/19;Sandefjord videregående skole;vg 2;Service og samferdsel;79,8%;0,0%;6,7%;6,7%;6,7%
2019/20;Sandefjord videregående skole;vg 2;Service og samferdsel;70,8%;0,0%;5,2%;15,6%;8,3%
2019/20;Sandefjord videregående skole;vg 1;Studiespesialisering;88,6%;3,7%;2,9%;3,3%;1,6%
2021/22;Sandefjord videregående skole;vg 1;Studiespesialisering;87,4%;4,7%;5,6%;2,0%;0,3%
2020/21;Sandefjord videregående skole;vg 1;Studiespesialisering;87,1%;0,7%;6,3%;3,8%;2,1%
2018/19;Sandefjord videregående skole;vg 1;Studiespesialisering;87,0%;1,7%;5,6%;4,3%;1,3%
2017/18;Sandefjord videregående skole;vg 1;Studiespesialisering;84,6%;4,0%;6,8%;2,5%;2,2%
2022/23;Sandefjord videregående skole;vg 1;Studiespesialisering;83,4%;7,4%;5,2%;1,5%;2,6%
2020/21;Sandefjord videregående skole;vg 2;Studiespesialisering;87,8%;0,9%;0,9%;8,1%;2,3%
2022/23;Sandefjord videregående skole;vg 2;Studiespesialisering;84,9%;4,9%;4,9%;4,3%;1,0%
2017/18;Sandefjord videregående skole;vg 2;Studiespesialisering;84,7%;3,2%;6,1%;4,2%;1,9%
2019/20;Sandefjord videregående skole;vg 2;Studiespesialisering;81,8%;2,1%;5,3%;10,2%;0,7%
2018/19;Sandefjord videregående skole;vg 2;Studiespesialisering;80,1%;3,0%;7,1%;8,8%;1,0%
2021/22;Sandefjord videregående skole;vg 2;Studiespesialisering;79,3%;3,7%;6,3%;8,7%;2,0%
2020/21;Sandefjord videregående skole;vg 3;Studiespesialisering;90,6%;0,3%;2,4%;5,9%;0,7%
2019/20;Sandefjord videregående skole;vg 3;Studiespesialisering;89,7%;2,0%;2,0%;4,3%;2,0%
2021/22;Sandefjord videregående skole;vg 3;Studiespesialisering;88,0%;6,4%;1,2%;3,2%;1,2%
2022/23;Sandefjord videregående skole;vg 3;Studiespesialisering;84,6%;3,8%;3,1%;7,3%;1,0%
2018/19;Sandefjord videregående skole;vg 3;Studiespesialisering;81,9%;1,0%;8,7%;7,1%;1,3%
2017/18;Sandefjord videregående skole;vg 3;Studiespesialisering;78,5%;2,8%;8,1%;8,7%;1,9%
2022/23;Sandefjord videregående skole;vg 1;Teknologi- og industrifag;75,5%;1,9%;1,9%;7,5%;13,2%
2021/22;Sandefjord videregående skole;vg 1;Teknologi- og industrifag;70,7%;5,2%;1,7%;10,3%;12,1%
2017/18;Sandefjord videregående skole;vg 1;Teknologi- og industrifag;67,5%;0,0%;12,5%;5,0%;15,0%
2019/20;Sandefjord videregående skole;vg 1;Teknologi- og industrifag;64,3%;0,0%;1,8%;23,2%;10,7%
2018/19;Sandefjord videregående skole;vg 1;Teknologi- og industrifag;63,6%;0,0%;9,1%;16,4%;10,9%
2020/21;Sandefjord videregående skole;vg 1;Teknologi- og industrifag;52,6%;0,0%;1,8%;29,8%;15,8%
2022/23;Sandefjord videregående skole;vg 2;Teknologi- og industrifag;88,2%;0,0%;0,0%;2,9%;8,8%
2019/20;Sandefjord videregående skole;vg 2;Teknologi- og industrifag;79,3%;0,0%;6,9%;6,9%;6,9%
2020/21;Sandefjord videregående skole;vg 2;Teknologi- og industrifag;78,1%;0,0%;3,1%;6,3%;12,5%
2021/22;Sandefjord videregående skole;vg 2;Teknologi- og industrifag;70,4%;7,4%;7,4%;3,7%;11,1%
2017/18;Sandefjord videregående skole;vg 2;Teknologi- og industrifag;70,0%;0,0%;6,7%;16,7%;6,7%
2018/19;Sandefjord videregående skole;vg 2;Teknologi- og industrifag;59,3%;0,0%;11,1%;14,8%;14,8%
2019/20;Thor Heyerdahl videregående skole;vg 1;Bygg- og anleggsteknikk;95,2%;0,0%;1,6%;1,6%;1,6%
2020/21;Thor Heyerdahl videregående skole;vg 1;Bygg- og anleggsteknikk;89,1%;0,0%;0,0%;7,8%;3,1%
2017/18;Thor Heyerdahl videregående skole;vg 1;Bygg- og anleggsteknikk;83,9%;0,0%;1,8%;3,6%;10,7%
2018/19;Thor Heyerdahl videregående skole;vg 1;Bygg- og anleggsteknikk;82,8%;0,0%;7,8%;7,8%;1,6%
2021/22;Thor Heyerdahl videregående skole;vg 1;Bygg- og anleggsteknikk;81,1%;9,5%;0,0%;5,4%;4,1%
2022/23;Thor Heyerdahl videregående skole;vg 1;Bygg- og anleggsteknikk;55,4%;4,8%;9,6%;9,6%;20,5%
2021/22;Thor Heyerdahl videregående skole;vg 2;Bygg- og anleggsteknikk;90,9%;0,0%;2,3%;4,5%;2,3%
2019/20;Thor Heyerdahl videregående skole;vg 2;Bygg- og anleggsteknikk;88,1%;0,0%;4,8%;4,8%;2,4%
2022/23;Thor Heyerdahl videregående skole;vg 2;Bygg- og anleggsteknikk;85,4%;2,1%;0,0%;6,3%;6,3%
2020/21;Thor Heyerdahl videregående skole;vg 2;Bygg- og anleggsteknikk;82,6%;0,0%;0,0%;15,2%;2,2%
2018/19;Thor Heyerdahl videregående skole;vg 2;Bygg- og anleggsteknikk;77,8%;0,0%;13,9%;8,3%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 2;Bygg- og anleggsteknikk;77,8%;0,0%;11,1%;6,7%;4,4%
2021/22;Thor Heyerdahl videregående skole;vg 1;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 1;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 1;Elektro og datateknologi;98,0%;0,0%;0,0%;2,0%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 1;Elektro og datateknologi;97,9%;0,0%;0,0%;2,1%;0,0%
2019/20;Thor Heyerdahl videregående skole;vg 1;Elektro og datateknologi;93,8%;0,0%;0,0%;4,2%;2,1%
2018/19;Thor Heyerdahl videregående skole;vg 1;Elektro og datateknologi;93,5%;0,0%;2,2%;2,2%;2,2%
2020/21;Thor Heyerdahl videregående skole;vg 2;Elektro og datateknologi;100,0%;0,0%;0,0%;0,0%;0,0%
2021/22;Thor Heyerdahl videregående skole;vg 2;Elektro og datateknologi;97,9%;2,1%;0,0%;0,0%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 2;Elektro og datateknologi;95,8%;2,1%;2,1%;0,0%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 2;Elektro og datateknologi;95,7%;0,0%;0,0%;2,2%;2,2%
2018/19;Thor Heyerdahl videregående skole;vg 2;Elektro og datateknologi;95,6%;0,0%;0,0%;2,2%;2,2%
2019/20;Thor Heyerdahl videregående skole;vg 2;Elektro og datateknologi;95,3%;0,0%;0,0%;4,7%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 1;Helse- og oppvekstfag;86,8%;0,0%;6,6%;5,3%;1,3%
2019/20;Thor Heyerdahl videregående skole;vg 1;Helse- og oppvekstfag;84,0%;0,0%;4,0%;5,3%;6,7%
2022/23;Thor Heyerdahl videregående skole;vg 1;Helse- og oppvekstfag;81,8%;1,5%;7,6%;1,5%;7,6%
2021/22;Thor Heyerdahl videregående skole;vg 1;Helse- og oppvekstfag;79,7%;9,4%;0,0%;6,3%;4,7%
2018/19;Thor Heyerdahl videregående skole;vg 1;Helse- og oppvekstfag;79,0%;0,0%;6,2%;7,4%;7,4%
2020/21;Thor Heyerdahl videregående skole;vg 1;Helse- og oppvekstfag;78,7%;0,0%;2,7%;14,7%;4,0%
2020/21;Thor Heyerdahl videregående skole;vg 2;Helse- og oppvekstfag;89,3%;0,0%;2,7%;5,3%;2,7%
2018/19;Thor Heyerdahl videregående skole;vg 2;Helse- og oppvekstfag;87,8%;2,7%;1,4%;6,8%;1,4%
2019/20;Thor Heyerdahl videregående skole;vg 2;Helse- og oppvekstfag;87,5%;0,0%;1,4%;5,6%;5,6%
2022/23;Thor Heyerdahl videregående skole;vg 2;Helse- og oppvekstfag;86,0%;3,5%;1,8%;0,0%;8,8%
2017/18;Thor Heyerdahl videregående skole;vg 2;Helse- og oppvekstfag;85,5%;1,3%;1,3%;9,2%;2,6%
2021/22;Thor Heyerdahl videregående skole;vg 2;Helse- og oppvekstfag;76,7%;15,1%;0,0%;0,0%;8,2%
2019/20;Thor Heyerdahl videregående skole;vg 1;Idrettsfag;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 1;Idrettsfag;96,8%;1,6%;0,0%;0,0%;1,6%
2021/22;Thor Heyerdahl videregående skole;vg 1;Idrettsfag;96,6%;1,7%;1,7%;0,0%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 1;Idrettsfag;95,2%;0,0%;0,0%;3,2%;1,6%
2018/19;Thor Heyerdahl videregående skole;vg 1;Idrettsfag;95,0%;0,0%;0,0%;3,3%;1,7%
2017/18;Thor Heyerdahl videregående skole;vg 1;Idrettsfag;91,9%;0,0%;1,6%;6,5%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;98,4%;0,0%;0,0%;1,6%;0,0%
2021/22;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;98,4%;0,0%;0,0%;0,0%;1,6%
2018/19;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;94,6%;0,0%;1,8%;3,6%;0,0%
2019/20;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;94,4%;0,0%;1,9%;3,7%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;92,9%;0,0%;7,1%;0,0%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 2;Idrettsfag;91,8%;0,0%;6,6%;1,6%;0,0%
2021/22;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;98,4%;0,0%;0,0%;1,6%;0,0%
2019/20;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;96,6%;0,0%;0,0%;1,7%;1,7%
2020/21;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;96,4%;0,0%;0,0%;3,6%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;91,9%;1,6%;6,5%;0,0%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;90,9%;0,0%;1,5%;6,1%;1,5%
2018/19;Thor Heyerdahl videregående skole;vg 3;Idrettsfag;90,2%;0,0%;8,2%;1,6%;0,0%
2018/19;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;93,3%;0,0%;0,0%;3,3%;3,3%
2021/22;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;91,7%;4,2%;0,0%;0,0%;4,2%
2022/23;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;88,5%;3,8%;0,0%;3,8%;3,8%
2019/20;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;86,7%;3,3%;0,0%;3,3%;6,7%
2017/18;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;86,2%;0,0%;6,9%;3,4%;3,4%
2020/21;Thor Heyerdahl videregående skole;vg 1;Medier og kommunikasjon;81,5%;0,0%;0,0%;14,8%;3,7%
2020/21;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;87,5%;0,0%;0,0%;9,4%;3,1%
2022/23;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;76,2%;0,0%;4,8%;4,8%;14,3%
2021/22;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;75,0%;10,7%;7,1%;3,6%;3,6%
2018/19;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;74,1%;0,0%;18,5%;0,0%;7,4%
2017/18;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;69,6%;0,0%;21,7%;8,7%;0,0%
2019/20;Thor Heyerdahl videregående skole;vg 2;Medier og kommunikasjon;63,6%;0,0%;3,0%;24,2%;9,1%
2020/21;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;92,6%;3,7%;3,7%;0,0%;0,0%
2021/22;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;89,3%;0,0%;0,0%;3,6%;7,1%
2019/20;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;80,8%;0,0%;0,0%;15,4%;3,8%
2017/18;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;80,0%;0,0%;0,0%;12,0%;8,0%
2018/19;Thor Heyerdahl videregående skole;vg 3;Medier og kommunikasjon;76,0%;0,0%;12,0%;4,0%;8,0%
2020/21;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;96,9%;0,0%;0,0%;3,1%;0,0%
2019/20;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;96,8%;0,0%;0,0%;0,0%;3,2%
2017/18;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;89,5%;0,0%;10,5%;0,0%;0,0%
2018/19;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;82,8%;0,0%;0,0%;6,9%;10,3%
2021/22;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;81,8%;9,1%;0,0%;4,5%;4,5%
2022/23;Thor Heyerdahl videregående skole;vg 1;Musikk, dans og drama;78,6%;0,0%;7,1%;14,3%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;94,1%;0,0%;5,9%;0,0%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;90,5%;0,0%;0,0%;9,5%;0,0%
2021/22;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;88,5%;3,8%;3,8%;3,8%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;87,1%;0,0%;9,7%;3,2%;0,0%
2018/19;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;83,3%;0,0%;0,0%;11,1%;5,6%
2019/20;Thor Heyerdahl videregående skole;vg 2;Musikk, dans og drama;82,6%;0,0%;4,3%;8,7%;4,3%
2021/22;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;100,0%;0,0%;0,0%;0,0%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;91,7%;8,3%;0,0%;0,0%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;91,7%;0,0%;0,0%;4,2%;4,2%
2018/19;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;86,2%;0,0%;6,9%;3,4%;3,4%
2017/18;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;80,8%;0,0%;3,8%;11,5%;3,8%
2019/20;Thor Heyerdahl videregående skole;vg 3;Musikk, dans og drama;77,8%;0,0%;11,1%;11,1%;0,0%
2021/22;Thor Heyerdahl videregående skole;vg 3;Påbygging;93,8%;3,1%;0,0%;1,6%;1,6%
2020/21;Thor Heyerdahl videregående skole;vg 3;Påbygging;82,1%;0,0%;2,4%;10,7%;4,8%
2019/20;Thor Heyerdahl videregående skole;vg 3;Påbygging;77,6%;0,0%;0,0%;17,9%;4,5%
2018/19;Thor Heyerdahl videregående skole;vg 3;Påbygging;75,0%;0,0%;6,3%;9,4%;9,4%
2022/23;Thor Heyerdahl videregående skole;vg 3;Påbygging;68,9%;4,9%;9,8%;9,8%;6,6%
2017/18;Thor Heyerdahl videregående skole;vg 3;Påbygging;66,2%;1,5%;16,2%;8,8%;7,4%
2017/18;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;92,3%;0,0%;0,0%;0,0%;7,7%
2021/22;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;89,3%;3,6%;3,6%;0,0%;3,6%
2019/20;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;75,0%;0,0%;0,0%;20,0%;5,0%
2022/23;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;62,5%;0,0%;6,3%;6,3%;25,0%
2020/21;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;59,1%;0,0%;0,0%;31,8%;9,1%
2018/19;Thor Heyerdahl videregående skole;vg 1;Restaurant- og matfag;58,8%;0,0%;11,8%;17,6%;11,8%
2018/19;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;87,5%;0,0%;6,3%;0,0%;6,3%
2022/23;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;85,2%;0,0%;0,0%;7,4%;7,4%
2020/21;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;84,0%;0,0%;0,0%;12,0%;4,0%
2019/20;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;83,3%;0,0%;0,0%;16,7%;0,0%
2021/22;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;72,0%;12,0%;0,0%;12,0%;4,0%
2017/18;Thor Heyerdahl videregående skole;vg 2;Restaurant- og matfag;58,3%;0,0%;0,0%;41,7%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 1;Salg, service og reiseliv;83,0%;0,0%;0,0%;12,8%;4,3%
2022/23;Thor Heyerdahl videregående skole;vg 1;Salg, service og reiseliv;81,3%;4,2%;0,0%;6,3%;8,3%
2021/22;Thor Heyerdahl videregående skole;vg 1;Salg, service og reiseliv;73,3%;0,0%;0,0%;10,0%;16,7%
2022/23;Thor Heyerdahl videregående skole;vg 2;Salg, service og reiseliv;76,0%;0,0%;4,0%;4,0%;16,0%
2021/22;Thor Heyerdahl videregående skole;vg 2;Salg, service og reiseliv;67,5%;0,0%;10,0%;17,5%;5,0%
2019/20;Thor Heyerdahl videregående skole;vg 1;Service og samferdsel;82,9%;0,0%;8,6%;2,9%;5,7%
2017/18;Thor Heyerdahl videregående skole;vg 1;Service og samferdsel;76,1%;0,0%;4,3%;10,9%;8,7%
2018/19;Thor Heyerdahl videregående skole;vg 1;Service og samferdsel;75,0%;0,0%;2,1%;16,7%;6,3%
2019/20;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;86,0%;0,0%;2,3%;7,0%;4,7%
2018/19;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;72,7%;0,0%;6,8%;18,2%;2,3%
2020/21;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;72,7%;0,0%;3,0%;24,2%;0,0%
2017/18;Thor Heyerdahl videregående skole;vg 2;Service og samferdsel;72,0%;0,0%;0,0%;22,0%;6,0%
2019/20;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;99,2%;0,8%;0,0%;0,0%;0,0%
2018/19;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;94,2%;0,0%;1,3%;2,6%;1,9%
2022/23;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;93,0%;3,2%;0,6%;1,3%;1,9%
2017/18;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;91,8%;0,5%;1,6%;5,4%;0,5%
2020/21;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;89,0%;0,8%;0,0%;9,4%;0,8%
2021/22;Thor Heyerdahl videregående skole;vg 1;Studiespesialisering;83,9%;11,8%;0,6%;3,1%;0,6%
2019/20;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;93,5%;0,0%;0,0%;2,6%;3,9%
2017/18;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;93,3%;1,1%;1,7%;2,8%;1,1%
2021/22;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;93,0%;2,3%;3,1%;1,6%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;92,6%;3,7%;0,7%;2,9%;0,0%
2018/19;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;88,2%;0,0%;4,7%;7,1%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 2;Studiespesialisering;88,1%;1,9%;5,6%;3,1%;1,3%
2021/22;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;96,4%;0,7%;0,7%;2,2%;0,0%
2020/21;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;94,7%;2,6%;0,0%;2,0%;0,7%
2019/20;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;91,1%;0,0%;1,2%;7,7%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;88,7%;0,0%;4,0%;6,5%;0,8%
2017/18;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;88,3%;0,0%;2,2%;6,7%;2,8%
2018/19;Thor Heyerdahl videregående skole;vg 3;Studiespesialisering;83,2%;0,0%;6,5%;7,1%;3,3%
2018/19;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;83,9%;0,0%;0,0%;12,9%;3,2%
2022/23;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;82,5%;1,6%;0,0%;4,8%;11,1%
2020/21;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;77,4%;0,0%;3,2%;14,5%;4,8%
2021/22;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;75,0%;8,3%;1,7%;5,0%;10,0%
2017/18;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;70,0%;0,0%;0,0%;25,0%;5,0%
2019/20;Thor Heyerdahl videregående skole;vg 1;Teknologi- og industrifag;67,2%;1,6%;0,0%;23,4%;7,8%
2021/22;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;89,3%;0,0%;8,9%;0,0%;1,8%
2019/20;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;87,2%;0,0%;0,0%;12,8%;0,0%
2022/23;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;84,6%;5,8%;3,8%;1,9%;3,8%
2017/18;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;79,5%;0,0%;0,0%;10,3%;10,3%
2020/21;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;76,2%;0,0%;2,4%;11,9%;9,5%
2018/19;Thor Heyerdahl videregående skole;vg 2;Teknologi- og industrifag;68,6%;2,9%;2,9%;22,9%;2,9%
