År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Snitt
2023-24;Teknologi- og industrifag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;144;3,9
2024-25;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;10 401;3,5
2024-25;Alle utdanningsprogram;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;10 475;4
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;10 476;4,3
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;10 466;4
2024-25;Alle utdanningsprogram;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;10 448;4
2024-25;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;425;3,4
2024-25;Alle utdanningsprogram;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;430;3,9
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;430;4,2
2024-25;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;429;3,9
2024-25;Alle utdanningsprogram;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;429;3,9
2024-25;Bygg- og anleggsteknikk;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;2 130;3,4
2024-25;Bygg- og anleggsteknikk;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;2 169;4,1
2024-25;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;2 170;4,3
2024-25;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;2 171;4,1
2024-25;Bygg- og anleggsteknikk;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;2 163;4
2024-25;Bygg- og anleggsteknikk;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;123;3,4
2024-25;Bygg- og anleggsteknikk;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;126;4,1
2024-25;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;126;4,3
2024-25;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;126;4,1
2024-25;Bygg- og anleggsteknikk;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;126;3,9
2024-25;Elektro og datateknologi;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;2 281;3,5
2024-25;Elektro og datateknologi;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;2 288;4
2024-25;Elektro og datateknologi;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;2 285;4,3
2024-25;Elektro og datateknologi;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;2 282;4
2024-25;Elektro og datateknologi;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;2 281;4
2024-25;Elektro og datateknologi;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;56;3,3
2024-25;Elektro og datateknologi;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;56;4,1
2024-25;Elektro og datateknologi;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;56;4,3
2024-25;Elektro og datateknologi;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;56;3,8
2024-25;Elektro og datateknologi;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;56;3,9
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;183;3,6
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;186;4
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;187;4,2
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;187;4
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;187;4,1
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;6;3,2
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;6;3,5
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;6;3,7
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;*;*
2024-25;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;*;*
2024-25;Helse- og oppvekstfag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;1 808;3,9
2024-25;Helse- og oppvekstfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;1 814;4,1
2024-25;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;1 813;4,2
2024-25;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;1 808;4
2024-25;Helse- og oppvekstfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;1 802;4
2024-25;Helse- og oppvekstfag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;57;3,7
2024-25;Helse- og oppvekstfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;57;3,8
2024-25;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;57;4
2024-25;Helse- og oppvekstfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;56;3,7
2024-25;Helse- og oppvekstfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;57;3,8
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;377;3,3
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;381;3,8
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;382;4,4
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;382;3,9
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;381;4
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;15;2,8
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;16;3,6
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;16;4,1
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;16;3,8
2024-25;Informasjonsteknologi og medieproduksjon;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;15;4,1
2024-25;Naturbruk;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;328;3,6
2024-25;Naturbruk;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;333;4,1
2024-25;Naturbruk;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;334;4,3
2024-25;Naturbruk;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;334;4,1
2024-25;Naturbruk;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;332;3,9
2024-25;Naturbruk;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;*;*
2024-25;Naturbruk;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;*;*
2024-25;Naturbruk;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;*;*
2024-25;Naturbruk;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;*;*
2024-25;Naturbruk;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;*;*
2024-25;Restaurant- og matfag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;416;3,6
2024-25;Restaurant- og matfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;417;3,8
2024-25;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;417;4,1
2024-25;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;417;3,9
2024-25;Restaurant- og matfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;417;3,9
2024-25;Restaurant- og matfag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;*;*
2024-25;Restaurant- og matfag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;27;4,1
2024-25;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;27;4,4
2024-25;Restaurant- og matfag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;27;4,3
2024-25;Restaurant- og matfag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;27;4,4
2024-25;Salg, service og reiseliv;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;543;3,6
2024-25;Salg, service og reiseliv;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;544;3,9
2024-25;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;546;4,3
2024-25;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;545;4
2024-25;Salg, service og reiseliv;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;547;4
2024-25;Salg, service og reiseliv;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;27;3,6
2024-25;Salg, service og reiseliv;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;27;3,7
2024-25;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;27;4,3
2024-25;Salg, service og reiseliv;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;27;3,6
2024-25;Salg, service og reiseliv;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;27;3,7
2024-25;Teknologi- og industrifag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;2 236;3,5
2024-25;Teknologi- og industrifag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;2 242;4,1
2024-25;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;2 241;4,4
2024-25;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;2 239;4,1
2024-25;Teknologi- og industrifag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;2 237;4
2024-25;Teknologi- og industrifag;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;106;3,3
2024-25;Teknologi- og industrifag;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;107;3,9
2024-25;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;107;4,2
2024-25;Teknologi- og industrifag;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;107;3,9
2024-25;Teknologi- og industrifag;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;107;3,8
