ProgramomraadeNivaa;Kontraktstype;Fylke;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0;Lærekontrakt;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;1 707;1 757;1 792;1 923;1 944;;;;;2 266
0;Fagopplæring i skole;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;98;135;114;116;141;;;;;69
0;Fagbrev på jobb;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;;;;;;;;;;43
0;Opplæringskontrakt;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;190;163;157;162;141;;;;;127
2;Lærekontrakt;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;383;396;395;470;504;;;;;682
2;Lærekontrakt;Vestfold;DH;DH;Design og håndverk;Alle programområder;73;73;80;74;75;;;;;21
2;Lærekontrakt;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;224;223;243;266;295;;;;;360
2;Lærekontrakt;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;;;;;;;;;;36
2;Lærekontrakt;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;306;321;307;317;317;;;;;309
2;Lærekontrakt;Vestfold;DT;DT;Håndverk, design og produktutvikling;Alle programområder;;;;;;;;;;4
2;Lærekontrakt;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;;;;;;;;;;68
2;Lærekontrakt;Vestfold;MK;MK;Medier og kommunikasjon (gammel ordning);Alle programområder;4;4;6;3;;;;;;
2;Lærekontrakt;Vestfold;NA;NA;Naturbruk;Alle programområder;21;30;38;48;45;;;;;35
2;Lærekontrakt;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;114;105;108;119;111;;;;;110
2;Lærekontrakt;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;;120
2;Lærekontrakt;Vestfold;SS;SS;Service og samferdsel;Alle programområder;213;259;273;257;259;;;;;56
2;Lærekontrakt;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;369;346;342;369;338;;;;;465
2;Fagopplæring i skole;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;1;5;5;1;;;;;;0
2;Fagopplæring i skole;Vestfold;DH;DH;Design og håndverk;Alle programområder;4;1;;1;;;;;;
2;Fagopplæring i skole;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;17;13;16;11;11;;;;;16
2;Fagopplæring i skole;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;45;26;45;79;98;;;;;36
2;Fagopplæring i skole;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;;;;;;;;;;7
2;Fagopplæring i skole;Vestfold;NA;NA;Naturbruk;Alle programområder;;;3;;;;;;;2
2;Fagopplæring i skole;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;3;2;12;2;1;;;;;1
2;Fagopplæring i skole;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;;6
2;Fagopplæring i skole;Vestfold;SS;SS;Service og samferdsel;Alle programområder;22;17;24;4;25;;;;;
2;Fagopplæring i skole;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;6;71;9;18;6;;;;;1
2;Fagbrev på jobb;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;;;;;8
2;Fagbrev på jobb;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;;;;;;;;;;6
2;Fagbrev på jobb;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;;;;;;;;;;2
2;Fagbrev på jobb;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;;;;;11
2;Fagbrev på jobb;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;;;;;;;;;;1
2;Fagbrev på jobb;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;;;;;;;;;;9
2;Fagbrev på jobb;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;;1
2;Fagbrev på jobb;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;;;;;5
2;Opplæringskontrakt;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;;;;;30
2;Opplæringskontrakt;Vestfold;DH;DH;Design og håndverk;Alle programområder;;;;;;;;;;1
2;Opplæringskontrakt;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;;;;;;;;;;1
2;Opplæringskontrakt;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;;;;;8
2;Opplæringskontrakt;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;;;;;;;;;;11
2;Opplæringskontrakt;Vestfold;NA;NA;Naturbruk;Alle programområder;;;;;;;;;;13
2;Opplæringskontrakt;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;;;;;;;;;;18
2;Opplæringskontrakt;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;;5
2;Opplæringskontrakt;Vestfold;SS;SS;Service og samferdsel;Alle programområder;;;;;;;;;;5
2;Opplæringskontrakt;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;;;;;35
0;Lærekontrakt;Vestfold og Telemark;;Alle;Alle utdanningsprogram;Alle programområder;;;;;;3 523;3 491;3 782;3 999;
0;Fagopplæring i skole;Vestfold og Telemark;;Alle;Alle utdanningsprogram;Alle programområder;;;;;;160;146;204;168;
0;Fagbrev på jobb;Vestfold og Telemark;;Alle;Alle utdanningsprogram;Alle programområder;;;;;;;39;38;38;
0;Opplæringskontrakt;Vestfold og Telemark;;Alle;Alle utdanningsprogram;Alle programområder;;;;;;198;189;195;184;
2;Lærekontrakt;Vestfold og Telemark;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;899;931;1 004;1 090;
2;Lærekontrakt;Vestfold og Telemark;DH;DH;Design og håndverk;Alle programområder;;;;;;128;112;123;71;
2;Lærekontrakt;Vestfold og Telemark;EL;EL;Elektro og datateknologi;Alle programområder;;;;;;612;618;647;703;
2;Lærekontrakt;Vestfold og Telemark;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;;;;;;;;1;35;
2;Lærekontrakt;Vestfold og Telemark;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;646;605;610;625;
2;Lærekontrakt;Vestfold og Telemark;DT;DT;Håndverk, design og produktutvikling;Alle programområder;;;;;;;;1;5;
2;Lærekontrakt;Vestfold og Telemark;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;;;;;;;;1;55;
2;Lærekontrakt;Vestfold og Telemark;MK;MK;Medier og kommunikasjon (gammel ordning);Alle programområder;;;;;;1;;;;
2;Lærekontrakt;Vestfold og Telemark;NA;NA;Naturbruk;Alle programområder;;;;;;58;42;74;70;
2;Lærekontrakt;Vestfold og Telemark;RM;RM;Restaurant- og matfag;Alle programområder;;;;;;137;152;178;177;
2;Lærekontrakt;Vestfold og Telemark;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;1;98;
2;Lærekontrakt;Vestfold og Telemark;SS;SS;Service og samferdsel;Alle programområder;;;;;;426;431;455;298;
2;Lærekontrakt;Vestfold og Telemark;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;616;600;687;772;
2;Fagopplæring i skole;Vestfold og Telemark;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;6;1;13;13;
2;Fagopplæring i skole;Vestfold og Telemark;DH;DH;Design og håndverk;Alle programområder;;;;;;2;7;7;1;
2;Fagopplæring i skole;Vestfold og Telemark;EL;EL;Elektro og datateknologi;Alle programområder;;;;;;5;16;31;17;
2;Fagopplæring i skole;Vestfold og Telemark;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;;;;;;;;;2;
2;Fagopplæring i skole;Vestfold og Telemark;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;109;85;119;105;
2;Fagopplæring i skole;Vestfold og Telemark;NA;NA;Naturbruk;Alle programområder;;;;;;1;;;;
2;Fagopplæring i skole;Vestfold og Telemark;RM;RM;Restaurant- og matfag;Alle programområder;;;;;;5;6;1;4;
2;Fagopplæring i skole;Vestfold og Telemark;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;4;
2;Fagopplæring i skole;Vestfold og Telemark;SS;SS;Service og samferdsel;Alle programområder;;;;;;20;22;15;8;
2;Fagopplæring i skole;Vestfold og Telemark;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;12;9;18;14;
2;Fagbrev på jobb;Vestfold og Telemark;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;;8;7;14;
2;Fagbrev på jobb;Vestfold og Telemark;DH;DH;Design og håndverk;Alle programområder;;;;;;;1;;;
2;Fagbrev på jobb;Vestfold og Telemark;EL;EL;Elektro og datateknologi;Alle programområder;;;;;;;;2;5;
2;Fagbrev på jobb;Vestfold og Telemark;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;;4;6;5;
2;Fagbrev på jobb;Vestfold og Telemark;RM;RM;Restaurant- og matfag;Alle programområder;;;;;;;12;8;3;
2;Fagbrev på jobb;Vestfold og Telemark;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;1;
2;Fagbrev på jobb;Vestfold og Telemark;SS;SS;Service og samferdsel;Alle programområder;;;;;;;9;8;1;
2;Fagbrev på jobb;Vestfold og Telemark;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;;5;7;9;
2;Opplæringskontrakt;Vestfold og Telemark;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;;;;51;
2;Opplæringskontrakt;Vestfold og Telemark;DH;DH;Design og håndverk;Alle programområder;;;;;;;;;7;
2;Opplæringskontrakt;Vestfold og Telemark;EL;EL;Elektro og datateknologi;Alle programområder;;;;;;;;;2;
2;Opplæringskontrakt;Vestfold og Telemark;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;;;;11;
2;Opplæringskontrakt;Vestfold og Telemark;DT;DT;Håndverk, design og produktutvikling;Alle programområder;;;;;;;;;2;
2;Opplæringskontrakt;Vestfold og Telemark;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;;;;;;;;;7;
2;Opplæringskontrakt;Vestfold og Telemark;NA;NA;Naturbruk;Alle programområder;;;;;;;;;12;
2;Opplæringskontrakt;Vestfold og Telemark;RM;RM;Restaurant- og matfag;Alle programområder;;;;;;;;;30;
2;Opplæringskontrakt;Vestfold og Telemark;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;;3;
2;Opplæringskontrakt;Vestfold og Telemark;SS;SS;Service og samferdsel;Alle programområder;;;;;;;;;22;
2;Opplæringskontrakt;Vestfold og Telemark;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;;;;37;
