EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg1;2019;87,2;46,9;1,1;39,2
2;I;07;07;Hele landet;Vestfold;Vestfold;Alle utdanningsprogram;Vg1;2019;85,4;44,9;2,1;38,5
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg1;2019;86,1;12,5;5,6;68,1
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg1;2019;86,5;10,8;0;75,7
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg1;2019;79,8;55,2;1,7;22,9
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg1;2019;87,1;44,8;2,6;39,7
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg1;2019;86,3;35,9;7,6;42,7
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg1;2019;87,3;53,5;0;33,8
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg1;2019;91,3;54,7;2,6;34
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg1;2019;91;46,7;1,5;42,7
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg1;2019;85,2;45,7;2,9;36,6
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg1;2019;72,9;72,9;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg1;2019;69,2;69,2;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg1;2019;88,4;41,6;0,8;46,1
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg1;2019;97;95,5;0;1,5
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg1;2020;88,8;48;1;39,8
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg1;2020;88;45,1;1,7;41,2
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg1;2020;84,9;13;3,8;68,2
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg1;2020;87,5;0;2,1;85,4
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg1;2020;84,3;54;2,1;28,2
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg1;2020;88,1;38,9;4,8;44,4
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg1;2020;85,3;44,9;1,3;39,2
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg1;2020;87,2;26,6;13,8;46,8
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg1;2020;91,5;65,2;0;26,3
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg1;2020;93,6;51,9;1,7;40
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg1;2020;93,3;49,4;2,2;41,6
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg1;2020;85,4;42,6;3,6;39,2
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg1;2020;77,8;77,8;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg1;2020;95,2;95,2;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg1;2020;89,8;42;0,8;47
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg1;2020;95,7;95,7;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg1;2021;88,4;46,8;1,2;40,4
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg1;2021;87,1;44,4;1,9;40,8
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg1;2021;81,5;14;3,3;64,2
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg1;2021;94,6;0;0;94,6
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg1;2021;85,1;56,6;0,6;27,9
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg1;2021;93,3;25,8;9;58,4
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg1;2021;84,3;48,6;1,3;34,4
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg1;2021;83,9;18,6;10,2;55,1
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg1;2021;90,6;65,1;0;25,5
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg1;2021;94,1;49,4;4;40,7
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg1;2021;90,7;42,6;1,9;46,3
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg1;2021;83,4;44;3,2;36,2
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg1;2021;81;81;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg1;2021;81,8;78,8;3;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg1;2021;88,3;40,3;1,3;46,8
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg1;2021;100;100;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg1;2022;87,9;46,6;1,2;40,1
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg1;2022;88;45,8;2;40,2
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg1;2022;83,3;14,8;4,4;64
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg1;2022;82,9;4,3;4,3;74,3
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg1;2022;87,4;61,2;2,5;23,7
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg1;2022;85,1;42,1;3,5;39,5
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg1;2022;89;46,4;1,8;40,8
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg1;2022;85,1;22,3;7,4;55,3
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg1;2022;87,1;67;0;20,1
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg1;2022;93,4;54,7;3,1;35,6
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg1;2022;91,8;41,5;2,5;47,8
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg1;2022;89,3;48,6;2,5;38,2
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg1;2022;75;75;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg1;2022;71,4;71,4;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg1;2022;87,3;40,6;2,8;43,9
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg1;2022;100;100;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg1;2023;88,3;46;1,3;41
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg1;2023;87;42,9;2,4;41,7
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg1;2023;82,9;16,7;7,6;58,5
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg1;2023;82,9;0;2,9;80
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg1;2023;90,3;59,1;0,8;30,4
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg1;2023;79,4;24,3;5,6;49,5
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg1;2023;85,4;45,6;0,5;39,4
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg1;2023;84,8;20,2;8,1;56,6
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg1;2023;91;74,3;0;16,7
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg1;2023;89,7;46,8;2,3;40,5
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg1;2023;83,9;36;1,9;46
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg1;2023;88,9;46,4;4;38,6
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg1;2023;73,4;73,4;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg1;2023;100;100;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg1;2023;85,7;41,3;3,6;40,8
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg1;2023;98,5;98,5;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg1;2019;91,2;90,5;0,1;0,6
2;I;07;07;Hele landet;Vestfold;Vestfold;Studieforberedende;Vg1;2019;90,6;89,5;0,1;1
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg1;2019;93,5;87,1;3,2;3,2
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Studieforberedende;Vg1;2019;70;70;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg1;2019;91,8;90,9;0;0,9
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg1;2019;94,4;94,4;0;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg1;2019;91,1;83,9;0;7,1
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg1;2019;90,3;90,3;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg1;2019;90,8;90,8;0;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Studieforberedende;Vg1;2019;94,1;91,2;1;2
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Studieforberedende;Vg1;2019;90,5;89,5;0;1
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Studieforberedende;Vg1;2019;72,9;72,9;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Studieforberedende;Vg1;2019;69,2;69,2;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Studieforberedende;Vg1;2019;93,4;92,7;0;0,7
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Studieforberedende;Vg1;2019;97;95,5;0;1,5
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg1;2020;93,8;93,3;0,1;0,4
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg1;2020;92,9;92,6;0,1;0,3
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg1;2020;90,6;90,6;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg1;2020;94,7;94,2;0;0,5
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg1;2020;89,1;89,1;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg1;2020;92,7;92,7;0;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg1;2020;89,3;89,3;0;0
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg1;2020;96,1;96,1;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg1;2020;97,4;97,4;0;0
